number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
235,取自植物的中藥材。[例]近年來許多科學研究，證實了草藥的療效。,草藥,取自植物的中藥材，常用於治療各種疾病。,Herbal medicine; Plant-derived traditional Chinese medicinal materials.,在古代，中國的草藥常被用來製作各種藥品，治療不同的疾病。 / 學習如何辨識和使用草藥，是許多中醫課程的重要內容。 / 在某些偏遠山區的部落裡，當地居民仍然保持著使用草藥治療的傳統。 / 最近的研究顯示，某些草藥具有抗炎效果，可以幫助緩解慢性疼痛。 / 許多人選擇使用草藥保健品來增強免疫系統，預防感冒和流感。 / 我的奶奶常常用草藥煮湯，以幫助我們恢復健康。,n,一種草藥 / 中國的草藥 / 使用草藥 / 草藥療效 / 草藥配方 / 草藥味,"抗, 增強, 草藥味, 配方, 炎"
236,掌控管理機器。[例]這部新機器，操縱起來還不是很順手。,操縱,掌控和管理機器或工具，使其運作。引申為控制和指揮他人或事物。,To operate or control a machine.To manipulate or control something or someone.,操縱這台新型機器需要相當的專業知識，否則容易造成設備損壞。 / 他平時喜歡玩模擬飛行遊戲，這讓他對實際操縱飛機產生了濃厚的興趣。 / 不要讓他人操縱你的思維，應該獨立思考，做出正確的判斷。 / 政治人物有時會利用媒體來操縱民眾的情緒。 / 社交媒體上出現了一些假新聞，意圖操縱市場的投資方向。 / 他在舞台上熟練地操縱著燈光，讓整個演出更加精彩。,va-t,操縱機器 / 操縱局勢 / 操縱人心 / 操縱系統 / 操縱情感 / 操縱遊戲,"新型, 引申"
237,旁邊。[例]兩側、側面、隨侍在側,側,旁邊的位置。,Beside; on the side; lateral.,我們在山上看風景時，發現側邊有一條小路可以下山。 / 這幅畫的右側有一棵美麗的樹，讓整個畫面更加生動。 / 她的車停在我家旁邊的側邊，佔了我原本要使用的車位。 / 學校的操場兩側種滿了樹木，給孩子們提供了陰涼的休息空間。 / 這座橋的兩側都有觀景平台，非常適合拍照和欣賞風景。 / 小狗在沙發的側面睡著了，發出輕輕的聲音。,n,兩側 / 側面 / 右側 / 側邊 / 側耳傾聽 / 側影,"側邊, 著, 右側, 景, 側影, 陰涼, 車位, 睡"
237,傾斜。[例]側身、側耳傾聽,側,身體或物體向一側傾斜，不正面對某個方向。,To incline or lean to one side.,他側著身子，讓路給後面的人。 / 請你側耳傾聽，聽聽這首曲子的美妙旋律。 / 她側過頭，看著那個不尋常的舉動，感到驚訝。 / 這本書的內容側重於心理學，對於想了解人性的人來說非常有幫助。 / 我喜歡側著坐在陽台上，享受咖啡的香氣和外面的風景。 / 小狗側著頭，看著主人在玩球。,vp-i/N,側耳傾聽 / 側面 / 側面 / 側眼觀看 / 側重於某事 / 側手抓取,"側手, 抓取, 身子, 側重"
238,計劃。[例]今年的迎新舞會將由學生會負責策劃。,策畫/策劃,制定計劃和安排的行為，通常針對某個特定的目標或活動。,To plan or devise a specific action or event.,為了提高學生的學習動機，老師們正在策劃一系列有趣的課外活動。 / 公司策劃了一個新的產品發布會，期待能吸引更多的消費者關注他們的品牌。 / 今年的迎新舞會將由學生會負責策劃，讓新生們能有一個難忘的開始。 / 這次的音樂節，由於參與人數眾多，主辦方特別策劃了多場不同風格的演出，以滿足各類觀眾的需求。 / 當地政府正在策劃一項城市更新計劃，希望改善居民的生活品質。 / 為了讓社區更加團結，居民們決定策畫一個家庭日活動，讓大家一起分享美食和遊戲。,va-t/N,策畫方案 / 策畫項目 / 策畫內容 / 完美的策畫 / 大型策畫 / 策畫活動,"迎, 課外, 型"
239,使用儀器或量具以測定速度、長度等數值，或有關地形、地物之高下、大小等狀態。[例]任何建築物的規劃設計，都必須先經過精密的測量，絲毫馬虎不得。,測量,使用工具或量具來測定速度、長度等數值，或了解地形、地物的高低、大小等狀態。,To measure or assess using instruments or tools.,環保專家測量水體的污染程度，以評估清理工作的效果。 / 在地理課程中，老師教學生如何測量地圖上的距離和面積。 / 測量風速時，氣象學家必須注意周圍環境對數據的影響。 / 醫生在診斷病情時，通常會測量病人的血壓和心率。 / 在實驗室內，科研人員使用高精度的儀器來測量材料的物理性質。 / 學生們在科學課上學習如何測量液體的體積，以了解不同容器的容量。,va-t/N,測量工具 / 測量方法 / 測量標準 / 測量單位 / 測量儀器 / 測量時間,"風速, 科研, 容量, 測定, 物"
240,比喻境界、水準。[例]當氣功修鍊到某一層次後，要再進一步，須花費更多的工夫。,層次,條理分明，次序清楚。比喻境界或水準的高低。,A level or layer; a metaphorical reference to different stages or standards.,這篇文章的層次非常分明，讀者能夠輕易理解作者的觀點。 / 討論這個主題時，我們需要考慮到不同的層次，才能深入了解問題的本質。 / 他的演講條理清晰，層次分明，讓聽眾容易跟上他的思路。 / 在這部小說中，角色之間的層次關係複雜，增添了故事的張力。 / 這首歌曲的旋律層次豐富，使得每次聆聽都有新的感受。 / 在這幅畫中，色彩的層次讓整個作品看起來更加生動。,n,不同的層次 / 層次分明 / 提升層次 / 層次分明 / 情感的層次 / 生活的層次,
241,層次等級。[例]研究所是比大學更高層級的教育機構。,層級,指事物的不同層次和等級。,A level or rank in a hierarchy.,在企業中，層級越高的管理者擁有更多的決策權限。 / 教育體系的層級分明，從小學到大學都有不同的要求和標準。 / 這個社會的層級結構影響了每個人的生活機會和資源分配。 / 在軍隊裡，不同層級的指揮官負責不同的任務和部隊。 / 在非營利組織中，層級的劃分有助於明確各部門的職責與合作方式。 / 在這個遊戲中，玩家需要通過不同的層級來解鎖更難的挑戰。,n,社會層級的差異 / 層級結構 / 跨層級的合作 / 層級的劃分 / 層級的變化 / 層級分明,"解, 有助, 權限, 指揮官"
242,層次方面。[例]這個合作案牽涉到幾個層面，必得審慎考量，不可貿然決定。,層面,指事物的不同層次或方面。,A level or aspect; refers to different dimensions or factors involved in a situation.,這個計畫在經濟層面和社會層面都會產生重大影響。 / 當討論氣候變化時，環境層面和經濟層面必須同時考量。 / 在籌備活動時，組織者需考量到場地、時間以及預算等不同的層面。 / 在學習一門新語言的時候，語言層面與文化層面的理解同樣重要。 / 繪畫作品所傳達的情感層面，往往比技術層面更加引人注目。 / 在學校的教育中，學生的心理層面和學習層面都需要得到重視。,n,社會層面 / 文化層面 / 政治層面 / 影響的層面 / 個人層面 / 經濟層面,
243,錯誤、過失。[例]酒醉開車，很容易出差錯。,差錯,錯誤或過失。,An error or mistake.,在這次考試中，他因為小差錯而失去了很多分數。 / 當臨時接到任務時，必須檢查所有資料，避免差錯。 / 在會議上，有人提到了一個重要的數據差錯，讓大家都感到驚訝。 / 我們的團隊正在努力糾正之前的差錯，以確保項目的順利進行。 / 在駕駛時，任何小差錯都有可能造成嚴重的後果，因此必須保持警覺。 / 她在填寫表格時不小心犯了差錯，結果資料都不正確。,n,一個差錯 / 小差錯 / 避免差錯 / 意外的差錯 / 造成差錯 / 重複差錯,"填寫, 失"
244,不佳、低劣。[例]一個人動作緩慢並不表示他的腦筋很差勁。,差勁,品質或表現很差、不如人意,Inferior; of poor quality or lacking excellence.,他的業績差勁，經理對他的表現非常失望。 / 我對於這次的工作表現感到十分差勁，明天會向主管提出改進計劃。 / 原本以為這部電影會很好看，結果卻差勁到讓我想中途離場。 / 我的運動表現差勁，讓隊伍在比賽中失去了很多機會。 / 在比賽中，他的表現差勁，讓他感到非常挫敗。 / 這道菜的味道差勁，我吃了一口就不想再吃了。,vs-adj,真是差勁 / 非常差勁 / 表現差勁 / 服務差勁 / 狀態差勁 / 差勁的選擇,"意, 差不如"
245,由觀察而發覺知道。[例]警察已四面埋伏，而歹徒尚未察覺。,察覺,由觀察而發覺並知道某件事情。,To perceive or become aware of something through observation.,在朋友的提醒下，他才逐漸察覺到自己工作上的問題。 / 即使周圍發生了一些變化，他仍然沒有察覺到，讓人感到驚訝。 / 學生在老師的引導下，慢慢察覺到數學問題中的邏輯關係。 / 經過一段時間的沉思，他才察覺到自己一直忽略的情感。 / 他在鏡子前整理髮型時，突然察覺到自己的一些小變化。 / 走在街上，他突然察覺到路邊的樹葉已經變黃了，秋天真的來了。,vp-t,突然察覺 / 逐漸察覺 / 及時察覺 / 慢慢察覺 / 不易察覺 / 敏銳察覺,
246,觀察。[例]檢察官在案發現場四處察看有無凶手留下的蛛絲馬跡。,察看,仔細觀察周圍的情況或事物。,To observe or inspect.,在社區巡邏時，警察會仔細察看有沒有可疑的人。 / 員工定期察看公司的設備，確保機器運行正常。 / 在動物園，飼養員每天都會察看動物的健康狀況。 / 學生在圖書館裡仔細察看每本書，以尋找所需的資料。 / 他們計劃在每個季節都仔細察看這片森林的生態變化。 / 他每天早上都會在陽台上察看天氣變化，以決定是否帶伞。,va-t,仔細察看 / 迅速察看 / 定期察看 / 深入察看 / 四處察看 / 隨意察看,伞
247,檢驗、檢查。[例]警方請屋主仔細查看有無遺失任何財物。,查看,檢驗、檢查某物是否存在或符合要求。,To examine or inspect.,會議結束後，經理要求團隊查看報告中的數據是否準確。 / 他每隔一段時間就會查看一下投資的狀況。 / 我需要查看一下我的電子郵件，看看是否有新的消息。 / 在開始新的項目之前，我會先查看相關的資料和文獻。 / 你可以隨時查看系統的安裝狀態，以確保一切正常運行。 / 我每天早上都會查看天氣預報，以便決定穿什麼衣服。,va-t,查看資料 / 隨時查看 / 查看報告 / 查看狀態 / 仔細查看 / 查看照片,"每隔, 物"
248,於電影或戲劇中穿插播放或演奏的樂曲。[例]電影原聲帶中收集了劇中所有的主題曲及插曲。,插曲,在電影或戲劇中，插入播放或演奏的樂曲。,"A musical piece interspersed in a film or drama, typically inserted between scenes.",這部電影的插曲讓每個場景都更加感人。在劇中出現的插曲，總是伴隨著主角的心情變化。 / 電影原聲帶中收集了劇中所有的主題曲及插曲。 / 這首插曲的旋律，令我回想起許多美好的回憶。 / 劇中那段感人的插曲，常常讓人忍不住落淚。 / 電影中的插曲，不僅增強了氣氛，還讓角色的情感更加立體。 / 在晚會上，表演者唱了一首動人的插曲，讓觀眾都陶醉在音樂中。,n,電影插曲 / 劇中插曲 / 經典插曲 / 感人插曲 / 主題曲及插曲 / 休閒插曲,"增強, 落淚, 主題曲, 原, 劇, 忍不住, 插入"
248,在連續進行的事情過程中，意外發生的片段、故事。[例]生活中的一些小插曲，可增進工作的情趣。,插曲,在連續進行的事情過程中，意外發生的片段或故事。,A short episode or segment that occurs unexpectedly within a continuous process or event.,在旅行中，經常會發生一些有趣的小插曲，讓整個旅程更加難忘。 / 在我的求學過程中，許多插曲都成為了我珍貴的回憶，陪伴我走過青春歲月。 / 整個會議中出現了幾個意外的插曲，讓原本嚴肅的氛圍變得輕鬆起來。 / 他們的故事裡充滿了感人的插曲，讓每個聽眾都感受到深刻的共鳴。 / 在寫作過程中，發生在生活中的插曲經常讓我的文章更加生動有趣。 / 在婚禮上，伴郎分享了一個有趣的插曲，讓賓客們都忍俊不禁。,n,一段插曲 / 生活中的插曲 / 愉快的插曲 / 意外的插曲 / 工作中的插曲 / 美好的插曲,"伴郎, 走過, 忍俊"
249,參與、介入。[例]清官難斷家務事，他們夫妻倆鬧彆扭，我們怎好插手？,插手,參與或介入他人的事情，通常帶有干涉的意味。,"To intervene or meddle in something, typically without being invited or inappropriately.",雖然他是我的朋友，但我不想插手他的私人事務。 / 在家庭糾紛中，外人最好不要插手，以免引起更多誤會。 / 他企圖插手公司的決策，讓管理層感到不滿和困擾。 / 當朋友之間出現爭執時，不應該隨便插手，以免造成更大的矛盾。 / 在這件事上，專家提醒大家不要隨意插手，以免影響結果。 / 在同學們的討論中，老師決定不要插手，讓他們自己找到解決辦法。,va-t,企圖插手 / 不要插手 / 插手別人的事 / 不應該插手 / 插手事情 / 插手爭端,帶有
250,書籍或報刊雜誌中插印的圖畫、照片。具有輔助說明內容、增加閱讀興趣及美化版面的作用。[例]這部辭典內有插圖，使讀者更易於了解。,插圖,書籍或報刊中的圖畫或照片，用來幫助說明內容，增強閱讀興趣。,"Illustration; A picture or photograph inserted in a book or magazine, serving to provide supplementary explanation, enhance reader interest, and beautify the layout.",這本書的插圖很精美，讓讀者更容易理解故事的情節。 / 兒童故事書中有生動的插圖，十分吸引小朋友的注意。 / 書籍中的插圖使複雜的概念變得更加簡單明瞭。 / 除了文字，插圖也扮演著重要的角色，幫助讀者更深入地理解主題。 / 這本旅行指南使用插圖展示了美麗的風景，讓人更想去探索那些地方。 / 老師用插圖來幫助學生理解科學概念，讓課堂更有趣。,n,精美的插圖 / 書籍中的插圖 / 相關的插圖 / 使用插圖 / 生動的插圖 / 可愛的插圖,增強
251,查問、詢問。[例]各大醫院皆有服務臺，若有醫療上的問題，可逕向其查詢。,查詢,查問或詢問某件事情，尋求答案或資訊。,To inquire or ask about something.,學生們可以透過學校的網站查詢課程的詳細資訊。 / 如果對於公司產品有任何問題，顧客服務中心提供查詢電話以方便客戶聯絡。 / 銀行的網路平台讓客戶能夠快速查詢帳戶餘額和交易紀錄。 / 醫院的首頁提供查詢服務，讓病人能夠查看就診的預約情況。 / 透過手機應用程式，使用者可以隨時查詢最近的交通狀況。 / 在圖書館裡，讀者可以使用電腦查詢書籍的庫存情況。,va-i/N,查詢服務 / 查詢結果 / 查詢系統 / 查詢電話 / 查詢資料 / 查詢方式,"診, 餘額"
252,驚奇、訝異。[例]沒預料到他會出現，所以現場的人個個都一臉詫異。,詫異,驚奇、訝異，通常是對意外或不尋常的事情感到驚訝。,To be surprised or astonished; indicating a state of being in awe or disbelief.,聽到他獲得金獎的消息，所有同事都感到詫異。 / 在聚會上，當他突然提出要移居外國時，大家都一臉詫異。 / 當她得知自己被選為班長時，臉上的表情顯得十分詫異。 / 當老師宣布這次考試的題目與這學期的內容完全不同時，學生們都詫異得說不出話來。 / 他的突然到訪讓我們都感到詫異，因為之前並沒有人告訴我們他會來。 / 他看到那隻從未見過的鳥，忍不住詫異地停下腳步。,n,令人詫異 / 感到詫異 / 讓人詫異 / 十分詫異 / 一臉詫異 / 無法詫異,"金獎, 從未, 忍不住"
253,a part-time job,差2,「差2」是指在學校或工作以外，兼職做的工作。一般上，這種工作時間彈性，可以根據自己的安排進行。,A part-time job.,許多學生利用放學後的時間來兼一些差2，以賺取零用錢。 / 有些大學提供的打工機會，讓學生能差2獲得寶貴的工作經驗。 / 在暑假期間，很多年輕人會選擇做差2，來填補時間和增加收入。 / 這份差2的工作彈性很高，讓我可以自由安排我的學習計畫。 / 如果能找到一份與自己專業相關的工作機會，差2 對於將來的求職會有很大的幫助。 / 我的朋友在週末的時候做了一些差2，幫助當地的商店整理貨物。,n,打工差2 / 差2工作 / 短期的差2 / 輕鬆差2 / 自願差2 / 創意差2,"2, 求職, 短期, 賺取"
254,拆掉、去除。[例]在規勸無效後，工務局決定強行拆除違建。,拆除,去掉建築物或設施，通常是指強行去除。,To dismantle or remove; to tear down or demolish.,在社區大會上，居民們對拆除老化的危險圍牆表示贊同，認為這樣能提升安全性。 / 隨著城市發展，舊樓房的拆除讓新的住宅和商業空間得以建設。 / 在這次城市改造計劃中，拆除一些低效能的交通設施被視為提升交通流暢度的關鍵。 / 因應新科技的發展，許多企業選擇拆除舊有的生產設備，以引進更先進的設備。 / 市政府決定強行拆除違建，以維護城市的規劃和管理秩序。 / 在進行園林改造時，專家們提議拆除多年沒有照顧的老樹，以便為新植物騰出空間。,vp-t,拆除違建 / 拆除圍牆 / 拆除樓房 / 拆除設備 / 強行拆除 / 拆除廢物,"違建, 廢, 樓房, 效, 園林, 市政府, 化, 騰"
255,泛指工作、職務。[例]不用工作又有錢可以賺，那有這麼好的差事？,差事,工作或職務，通常帶有特定的責任和任務。,"A job or position, often implying a casual or temporary nature.",她發現這份差事比她想像中的有趣，因為可以認識很多新朋友。 / 偶爾接些差事出來做，讓我對生活有更不一樣的體驗。 / 如果她能夠完成這份差事，將來有可能獲得更多的工作機會。 / 這份差事雖然辛苦，但讓我感受到了一種成就感。 / 她最近接到了幾個短期差事，這讓她的空閒時間變得更加充實。 / 他今天有一個重要的差事，需要在會議上發表他的報告。,n,一份差事 / 有趣的差事 / 好差事 / 壞差事 / 短期差事 / 小差事,"得, 帶有, 短期"
256,裹繞、圍繞。[例]纏足、纏腳、腰纏萬貫,纏,裹繞或圍繞在某物上。,To wrap around or encircle; to entwine or bind.,孩子的玩具有很多根線纏在一起，讓她很難整理。 / 地上有一條蛇緊纏著獵物，準備飽餐一頓。 / 他被過去的回憶纏著，無法放下那些甜蜜的時光。 / 這部電影的情節很複雜，讓觀眾的心中纏著許多疑問和猜想。 / 他被太多雜事纏住，過了下班時間還無法離開公司。 / 她的頭髮在風中纏在一起，讓她不得不小心解開。,va-t,纏鬧 / 纏著 / 緊纏 / 纏住 / 纏在一起 / 纏心,"獵, 物, 纏住, 飽餐"
256,攪擾、騷擾。[例]糾纏、死纏爛打,纏,攪擾或騷擾他人，使其感到困擾。,To disturb or harass; indicating a persistent and bothersome nature.,他對我死纏爛打的追求讓我感到很困擾。 / 最近有些讀者不停纏著作者，要求他寫續集。 / 有些銷售人員死纏爛打，很讓人反感。 / 在聚會上，有人不停纏著我，問起我工作的細節。 / 他們雖然離婚了，但還因財務問題糾纏不清 / 孩子們在公園裡玩耍，卻總是被小狗纏著，無法靜下心來。,va-t,死纏爛打 / 糾纏不清 / 纏住不放 / 纏著不放 / 纏心事 / 纏煩惱,"攪擾, 因, 纏住, 死纏, 續集"
257,佛教上本指請對方容忍、寬恕自己的過錯。後泛指悔過。[例]他在神父面前懺悔從前所犯的錯誤。,懺悔,本指向他人請求容忍和寬恕自己的過錯，後來引申為悔過。,"To repent or confess one's mistakes, originally in a Buddhist context referring to asking for forgiveness.",她在寺廟裡誠心懺悔，祈求上天原諒她過去的錯誤。 / 在進行心靈治療時，他學會了怎麼有效地懺悔自己的過失。 / 她向朋友懺悔，表達了自己對於傷害對方感情的深深懺悔。 / 無論是宗教儀式還是個人反省，懺悔都是一個重要的過程。 / 他在寫詩時，將自己懺悔的情感化為文字，表達內心的掙扎。 / 他在寺廟裡懺悔過去的錯誤，並立志要改正自己的行為。 / 在面對自己的罪行時，他深感懺悔，並希望能得到社會的寬恕。 / 懺悔的過程幫助她釋放了壓抑已久的罪惡感，讓她重新開始。 / 他在與心理諮詢師對話時，真誠地懺悔，期待能找到自我救贖的方法。 / 經歷了一段時間的反思後，她終於鼓起勇氣向父母懺悔自己的過失。 / 懺悔不僅是對過去錯誤的承認，更是對未來行為的承諾。,vs-i/N,懺悔過錯 / 懺悔罪行 / 誠心懺悔 / 深深懺悔 / 懺悔的方式 / 懺悔的對象 / 及時懺悔 / 心中懺悔 / 懺悔自己 / 認真懺悔,"指向, 引申, 師, 悔, 化為"
258,說明敘述。[例]老師常在課堂上闡述人生真諦，使我們獲益無窮。,闡述,說明或敘述某個事情，讓人了解。,"To elaborate or expound on a topic, providing detailed explanations.",老師在課堂上詳細闡述了小說的主題，使學生能夠更好地理解故事。 / 環保專家闡述了氣候變遷對生態系統的影響，引起了大家的重視。 / 在演講中，教授闡述了科技發展對現代生活的深遠影響，讓聽眾受益匪淺。 / 這本書闡述了人類歷史上的重要事件，讓讀者對過去有更深的認識。 / 經濟學家闡述了市場波動的原因，幫助投資者做出明智的決策。 / 這位藝術家在展覽中，詳細闡述了創作背後的靈感與過程，讓觀眾更加欣賞她的作品。 / 心理學家在研討會上闡述了情緒管理的重要性，幫助與會者提升自我調節能力。 / 當記者詢問關於政策的影響時，官員清楚闡述了改革的目的與預期成果，讓民眾安心。 / 這部紀錄片闡述了不同文化之間的交流與碰撞，讓觀眾對世界多樣性有了新的認識。 / 教練在訓練中闡述了每個動作的重要性，幫助運動員提升技術水平。 / 在會議上，專家充分闡述了新技術的應用前景，激發了企業家的投資興趣。,va-t,詳細闡述 / 清楚闡述 / 認真闡述 / 充分闡述 / 關鍵問題的闡述 / 有效的闡述 / 明確的闡述 / 理論的闡述 / 思想的闡述 / 鮮明地闡述,"紀錄片, 受益匪淺, 濟, 研討"
259,產品換算成貨幣計算的價值。通常隨時間、經濟變化而波動。[例]這棟別墅因經濟不景氣，產值大幅滑落。,產值,產品換算成貨幣計算的價值，通常隨時間和經濟變化而波動。,The monetary value of products calculated in terms of output.,政府希望透過科技創新來提高農業的產值。 / 這項新政策的實施，預計將使國家的總產值增加2%。 / 這家公司的產品產值逐年提高，吸引了不少投資者的注意。 / 評估一個國家的經濟實力時，產值常常是最重要的指標之一。 / 隨著全球市場需求的變化，今年的產值預測有顯著的調整。 / 高產值的產業如綠能和科技產業，也創造了許多就業機會。 / 藉著優化生產流程，工廠的產值在短時間內翻了一倍。 / 這項技術的突破，使得傳統行業的產值大幅提升，改變了市場格局。 / 若能持續創新，預期這個產品未來的產值將會達到歷史新高。 / 政府統計報告顯示，今年的出口產值創下了新的紀錄。 / 區域合作的加強，將有助於提升各國的產值和經濟合作潛力。,n,產品的產值 / 工業的產值 / 計算產值 / 增加產值 / 預測產值 / 高產值的產業 / 總產值 / 服務的產值 / 影響產值 / 明顯地降低產值,"有助, 創, 隨, 若, 換算, 藉著, 優, 農業, 工業, 2, 總產值"
260,與佛家有關的。[例]禪法、禪理、禪語,禪,與佛教有關的一種修行和思想，強調靜心和直接體驗。,Related to Zen Buddhism.,在這個繁忙的城市中，學會靜心禪修可以幫助人們減輕壓力，提升內在平靜。 / 禪修的過程中，人們透過專注呼吸來體驗當下的寧靜與美好。 / 一位有經驗的老師帶領學生，讓他們感受到禪修的真正意義。 / 在柏林的藝術展中，我體驗到了一種不同於以往的禪意，讓我思考生命的價值與意義。 / 他每天早晨都花時間禪坐，以此作為新一天的開始，讓心靈重新充電。 / 隨著禪定的深入，她體驗到心靈與自然的和諧，彷彿進入了一個全新的境界。 / 在課堂上，老師分享了幾句深刻的禪語，讓學生感受到智慧的力量。 / 每當她走進那座古老的禪寺，心中便感到敬畏與平靜。 / 通過學習禪道，他漸漸明白了在生活中保持簡單與真實的重要性。 / 他的畫作中有禪的元素，讓觀者在看時感受到內心的寧靜。 / 參加這次禪修 Retreat，讓他發現了自我反思的力量，重新找回內心的方向。,n,禪修 / 禪定 / 禪意 / 禪心 / 禪意 / 禪語 / 參禪 / 入禪 / 禪境 / 禪道,"禪修, 禪定, 走進, 找回, 展, 禪意, 境, 柏林, 禪寺, Retreat, 參禪, 全新, 禪語"
260,帝王讓位或傳位。[例]禪位、禪讓,禪,心靈的平靜狀態，通常透過靜坐和冥想來實現。,"To abdicate or cede authority, typically referring to a monarch passing the throne to a successor.",古代的風俗中，君王常常會在禪的位置上選擇離開，這樣後來的人就不會紀念先帝。 / 在某些文化中，禪被認為能夠帶來和平與和諧，能避免不必要的衝突。 / 他認為禪讓的制度有助於減少內部的權力鬥爭，因此提倡恢復這一遺失的傳統。 / 當皇帝選擇禪位時，應該召集大家一起討論，以確保權力的平穩交接。 / 禪讓的過程通常需要幾個月來完成，以便新君主能夠充分了解國家的事務。 / 古代的皇帝常常會選擇禪位給自己的兒子，以確保皇位的平穩過渡。 / 禪讓的制度使得許多國家能夠在危機時刻和平地更換領導人，避免了戰爭的發生。 / 君主禪位的儀式通常充滿了象徵意義，代表著希望與未來的交接。 / 在歷史上，有些國家因為禪讓的成功而變得很富強，而另一些則因為權力的爭奪而變得不如以前。 / 他撰寫了一本書，專門探討禪讓的歷史與文化，認為這是一個值得學習的重要課題。 / 透過禪讓，老一代的領導者能夠把智慧和經驗傳給新一屆的統治者，為國家的未來打下基礎。,vp-t/N,禪讓 / 禪位 / 皇帝禪位 / 禪位者 / 禪讓制 / 禪位移交 / 禪讓過程 / 禪讓的傳統 / 禪位交接 / 禪讓爭議,"有助, 帝, 皇位, 制, 內部, 君王, 位移"
261,慣常奉行的規矩。[例]每個月公休二天是這家理髮廳的常規。,常規,慣常遵循的規則或做法。,A customary or established rule or practice.,這家公司每周舉行一次會議，以確保員工都能遵循常規的工作流程。 / 在學校，學生們必須遵守常規的紀律，以創造良好的學習環境。 / 醫院的常規檢查能夠及早發現病患的健康問題。 / 在某些國家，報警和調查的常規流程是由警方嚴格執行的。 / 每年年底，公司都會檢討常規的業務流程，以提升工作效率。 / 這項運動的訓練常規每周安排五天，確保運動員能達到最佳狀態。 / 這個團體的常規活動通常包括每月一次的志願服務。 / 在大型宴會上，常規的菜單設計能夠滿足大多數客人的口味需求。 / 學校的常規考試安排讓學生們能提前做好準備。 / 常規的安全檢查能夠有效降低事故發生的風險。 / 每年的環保檢查是企業遵守常規環保標準的重要一環。,n,常規的做法 / 按照常規 / 遵守常規 / 常規的流程 / 常規的要求 / 常規的程序 / 常規的標準 / 常規的運作 / 常規的檢查 / 常規的規則,"警方, 型, 慣常, 宴"
262,,長久以來,「長久以來」指的是在很長一段時間內，通常表示某種狀態或情況持續存在。,A long time; an extended period in the past.,李老師長久以來都在這所學校教授中文，受到學生們的喜愛。 / 在這個小鎮上，長久以來的傳統節慶吸引了許多遊客前來參加。 / 他們長久以來的友誼使彼此在困難時刻能夠互相支持。 / 對於環保的關注，長久以來一直是這個社區的主要議題。 / 這部電影長久以來都被譽為經典，影響了無數後來的影視作品。 / 他們長久以來的相互信任，使得合作變得更加順利。 / 這種技藝長久以來傳承下來，成為了地方文化的重要一部分。 / 長久以來，這家餐廳以其美味的料理和熱情的服務贏得了顧客的心。 / 在這個研究領域，長久以來的努力讓科學家們不斷突破新高峰。 / 對於體育運動的熱愛，長久以來一直激勵著年輕人追求健康的生活方式。 / 長久以來的家庭聚會讓每個人都感受到濃厚的親情與溫暖。,adv,長久以來的習慣 / 長久以來的信念 / 長久以來的關係 / 長久以來的期待 / 長久以來的努力 / 長久以來的影響 / 長久以來的變化 / 長久以來的存在 / 長久以來的傳統 / 長久以來的記憶,"譽為, 得, 影視, 新高峰, 李, 遊客"
263,張開、打開。[例]敞開心胸，接納不同的事物，人生的境界會更開闊。,敞開,張開或打開。,To open wide or unreservedly.,敞開你的心扉，讓我們更深入地交流和理解彼此。 / 面對新的挑戰，他敞開心胸，勇敢地迎接每一個困難。 / 在派對上，主辦者敞開大門，歡迎每一位來賓的到來。 / 透過旅行，他敞開了自己的視野，體驗到了不同文化的美好。 / 当他的朋友遇到困难时，他敞开怀抱，愿意倾听和帮助。 / 敞開心胸，接納不同的意見，會讓團隊合作更加順利。 / 在這次座談會上，專家們敞開思維，分享了各自的獨特見解。 / 學校舉辦的交流活動讓學生們敞開情感，建立了深厚的友誼。 / 透過音樂，他敞開了自己的內心，找到了情感的出口。 / 每當他站在大自然中，心中便敞開了無限的自由與平靜。 / 敞開眼界，勇敢探索新知識，將使我們的人生更為豐富多彩。,va-t,敞開心胸 / 敞開大門 / 敞開視野 / 敞開心扉 / 敞開懷抱 / 敞開眼界 / 敞開思維 / 敞開胸懷 / 敞開情感 / 敞開路徑,"开, 困难, 怀, 更, 心扉, 助, 帮, 愿意, 座談, 时, 当, 倾, 敞, 听, 彩"
264,常來的客人。[例]李伯伯是家中的常客，常來和爸爸喝茶聊天。,常客,常來的客人。,A regular customer or guest; a person who frequently visits a place.,這個咖啡廳的常客喜歡在每個星期天來享受下午茶。 / 小王是這家書店的常客，總是能找到他喜歡的書籍。 / 每次來這家餐廳，常客們都會點他們的招牌菜。 / 這家健身房為常客提供了專屬的優惠方案。 / 老李是附近市場的常客，總能和攤販聊上幾句。 / 在這家美容院，常客們能享受到客製化的護理服務。 / 這間酒吧的常客會不定期舉辦聚會，讓氣氛更加熱鬧。 / 常客對於店內的新產品總是充滿期待，經常詢問最新消息。 / 這家旅館的常客每次到訪都會被熱情地迎接。 / 這個網路平台的常客能夠享受到優先選擇的權利。 / 常客的意見對於這家店的改進和發展非常重要。,n,常客的需求 / 常客的優惠 / 常客的忠誠 / 常客的服務 / 常客的權益 / 常客的習慣 / 常客的反饋 / 常客的喜好 / 變成常客 / 常客名單,"客製, 護理, 反饋, 午, 李"
