number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
2635,動植物成長後，產生子體，繁殖後代，稱為「生殖」。可分為有性生殖與無性生殖兩種。[例]插枝是利用植物無性生殖的方式繁殖新植株。,生殖,動植物成長後產生子體，繁殖後代的過程。分為有性繁殖和無性繁殖兩種。,Reproduction; the biological process by which living organisms produce offspring.,有些植物利用氣根來進行無性生殖，這樣可以在短時間內繁殖出許多新植株。 / 在進行生殖研究時，科學家們會觀察基因如何在後代中傳遞。 / 有性生殖不僅能夠產生遺傳多樣性，還能提高物種適應環境的能力。 / 一些多細胞生物，透過無性生殖的方式，可以形成大片的群體，增加生存機會。 / 生物學家發現，某些植物的生殖方式能夠在極端氣候下保證其種群的延續。 / 生殖發育的過程中，胚胎會經歷多次細胞分裂，以形成完整的生命體。,n,有性生殖 / 無性生殖 / 生殖器官 / 生殖細胞 / 生殖系統 / 生殖方式,"動植, 性, 植株, 分為, 氣, 胚胎"
2636,本國貨幣對外國貨幣的比值提升。如新臺幣對美元匯率由二十六調為二十五時，於新臺幣為升值，而於美元則為貶值。[例]由於新臺幣對美元匯率持續升值中，國內的企業將受到不小的影響。,升值,本國貨幣對外國貨幣的比值提高，表示本國貨幣相對於外國貨幣增值。,To appreciate; referring to the increase in value of a country's currency in comparison to foreign currencies.,隨著外資的流入，市場對於新臺幣升值的預期也隨之提高。 / 貨幣升值將使旅遊業受到一定的影響，因為國外的旅遊成本會變得更高。 / 專家指出，新臺幣的升值可能會對出口行業造成壓力，因為產品變得相對昂貴。 / 如果新臺幣持續升值，國內的競爭環境將會發生變化，影響許多企業的運營策略。 / 在分析升值對經濟的影響時，專家強調了長期政策調整的重要性。 / 隨著新臺幣的升值，進口原材料的成本下降，這對製造業將是一個利好消息。,vp-i/N,貨幣升值 / 升值對經濟的影響 / 升值與貶值 / 升值的幅度 / 持續升值 / 升值的預期,"運營, 值, 期, 原材料, 流入, 增值"
2637,十的大寫。[例]伍拾元整,拾,十的寫法，表示五十、六十等十的倍數。,The uppercase form of the numeral '10'; Used in formal contexts to represent the number ten.,他找到了一枚拾元整的硬幣，感到很開心。 / 經過市場時，她偶然撿到一張拾萬元整的支票，讓她驚喜不已。 / 下雨時，路邊的水積成小潭，帶走了幾枚拾元的硬幣。 / 公告價格為每股新台幣拾元，資本額為新台幣九千二百五十五萬元。 / 在舊書攤裡，他找到了一本價值伍拾萬元的舊書，讓他感到非常驚喜。 / 聖誕節那天，他收到了一張寫著拾元整的賀卡，裡面藏著許多祝福。,va-t,拾萬元整 / 拾元整 / 伍拾萬元 / 拾角的價格 / 伍拾元整 / 拾米的長度,"舊書攤, 伍拾, 硬幣, 帶走, 資本額, 水積, 倍數, 舊書, 寫法, 千二百五十五"
2637,撿取、拿起。[例]拾穗、拾金不昧、拾人牙慧,拾,撿取或拿起地上的物品。,To pick up or gather; to collect items scattered on the ground.,在公園裡，我看到一個孩子拾起地上的玩具，開心地笑了。 / 每當她散步時，總喜歡拾起路旁的葉子，收藏在一本筆記本裡。 / 在志願者活動中，我們一起拾起海灘上的垃圾，保護環境。 / 拾金不昧是我們每個人應該遵守的道德準則，讓社會變得更加美好。 / 小村莊裡的孩子們喜歡在田野間拾起各種果實，享受大自然的甜美。 / 在博物館裡，我拾起對歷史的興趣，決定更深入地了解過去。,va-t,拾金不昧 / 拾起勇氣 / 拾回信心 / 拾起希望 / 拾回失物 / 收拾整理,"拾回, 拾起, 拿起, 昧, 金"
2638,看、觀察。[例]凝視、注視、巡視,視,用眼睛看、觀察。,"To look at, observe, or regard.",她一直凝視著海面，似乎在尋找什麼失落的回憶。 / 這個展覽讓我重新審視了科技對人類生活的影響。 / 經理對項目的進展進行了仔細的觀察，以確保能夠按時完成。 / 他注視著天空，思考著未來的方向。 / 你的身體在水中應該保持正直，挺胸、目視前方，不要過度前傾或彎腰駝背。 / 在繁忙的工作之餘，我常常抽時間審視反思自己的職業生涯。,va-t,注視 / 凝視 / 巡視 / 視野 / 審視 / 目視,目
2639,糞便或眼、耳的分泌物。[例]拉屎、狗屎,屎,人排出的 waste。,"Feces; Excrement; A vulgar term for feces, often used to refer to waste from the digestive system.",小孩的臉上沾到了一點狗屎，他的媽媽馬上帶他去清洗。 / 小明在公園裡看到一坨屎，立刻叫朋友們不要靠近。 / 如果家裡有寵物，主人要定期打掃牠們的屎尿，保持環境清潔。 / 昨天下午，我的狗在草地上拉屎，讓我不得不找地方處理。 / 在臉書上看到一間以屎味而出名的店，讓我非常好奇想去看看。 / 朋友家裡的小狗學會了自己在外面拉屎，主人都覺得牠非常聰明。,n,拉屎 / 狗屎 / 一坨屎 / 鳥屎 / 屎尿 / 屎臭味,"臭味, 坨, 明, waste, 拉屎, 屎尿"
2640,石質碑刻。上有文字或圖案，可供紀念或作為標誌。[例]這座廟的建造經過全刻在廟前的石碑上。,石碑,石質的碑，上面刻有文字或圖案，用來紀念或作為標誌。,"A stone tablet or monument that is engraved with text or designs, serving as a memorial or marker.",這座剛修復完成的古老石碑，吸引了許多遊客前來拍照紀念。 / 學校的操場上有一座石碑，紀念為教育付出一生的校長。 / 在山頂的觀景台旁，有一塊石碑，提醒遊客注意安全。 / 這條古道旁的石碑，指引著行人通往下個目的地。 / 石碑上的浮雕，生動再現了當時的戰鬥場景。 / 每當夕陽西下，石碑的影子在地面上拉長，讓人感受到時光的流逝。,n,一座石碑 / 一塊石碑 / 古老的石碑 / 紀念石碑 / 石碑上的銘文 / 石碑上的文字,"石質, 現, 碑, 銘文, 古道, 遊客, 浮雕, 山頂, 景"
2641,根據情勢的發展，推測必然的發展趨向。[例]這場比賽雙方實力堅強，勢必是一場硬仗。,勢必,根據情勢的發展，推測必然會出現某種結果。,To be bound to; to be sure to; to certainly.,這次會議的重要性不言而喻，若不提前準備，勢必會浪費寶貴的時間。 / 這家公司的財務狀況不佳，若再不進行改革，勢必將面臨倒閉的危機。 / 在這場競賽中，雙方實力相當，勢必會引發一場精彩的對決。 / 在全球氣候變遷的壓力下，各國勢必需要加強合作，以應對這一共同的威脅。 / 如果不加強安全措施，勢必會增加意外事故發生的風險。 / 若不及時解決社會矛盾，勢必會引發更大的衝突和不安定因素。,adv,勢必會 / 勢必將 / 勢必需要 / 勢必得 / 勢必引起 / 勢必造成,"喻, 若, 言"
2642,本指世事的變化，現多指政治上或社會上突然發生的重大變故。[例]七七事變、九一八事變,事變,本來指事情的變化，現在多指政治或社會上突然發生的重大事件。,"A sudden and significant change or incident, often referring to political or social upheaval.",七七事變使得中國人民更加團結對抗外來侵略。 / 許多學者認為，這場突發事變可能會導致新的國際合作模式的形成。 / 在九一八事變之前，國際社會對亞洲局勢的關注並不高，隨後形勢迅速改變。 / 這場事變的影響不僅局限於當地，還波及到了全球的經濟體系。 / 許多歷史學家認為，這場事變是二十世紀初重要事件之一，改變了世界格局。 / 這場突發事變後，人民的生活方式和價值觀都受到了一定程度的衝擊與改變。,n,一場事變 / 七七事變 / 九一八事變 / 重大事變 / 突發事變 / 引發政治事變,"波及, 亞洲, 局限"
2643,與平日表現的水準或狀況不同。[例]他的精神失常，現在正在醫院接受治療。,失常,與平日的表現或狀況不同，通常指出現問題或異常。,Abnormal; differing from the usual or expected.,最近的經濟數據顯示，市場出現失常的現象，讓專家們感到擔憂。 / 醫生告訴他，他的血糖明顯失常，必須要注意養生和運動。 / 他最近的行為有些失常，讓朋友們都感到擔心。 / 因為生活劇變造成她認知與情緒失常，無法集中注意力，正常工作變得十分困難。 / 這支隊伍在比賽中表現失常，讓他們原本領先的優勢一下子被追平了。 / 近期的氣候變化導致農作物生長失常，農民們面臨嚴重的損失。,n,精神失常 / 行為失常 / 情緒失常 / 認知失常 / 狀態失常 / 表現失常,"追平, 血糖, 得, 近期, 劇變"
2644,古時將一天按照十二地支的順序分為十二個時段，每兩小時為一段，稱為「時辰」。[例]老王和好友們喝茶聊天，常常一坐就好幾個時辰。,時辰,古時將一天分為十二個時段，每兩小時為一段，這些時段按照十二地支的順序排列。,"A time period in ancient China, referring to the twelve two-hour intervals into which a day was divided, each associated with a specific earthly branch.",農夫計算著每個時辰的天氣變化，以作好耕作的準備。 / 在結婚典禮上，長輩會選擇吉利的時辰來進行儀式。 / 老王和好友們喝茶聊天，常常一坐就好幾個時辰。 / 奶奶在鄉下住久了，清早只要聽到公雞叫聲，就知道是什麼時辰。 / 中國古代將一天的二十四小時劃分成十二個時辰。 / 每當農曆新年來臨，家家戶戶都會準備在特定的時辰進行祭祖儀式，以祈求平安。,n,一個時辰 / 幾個時辰 / 每個時辰 / 十二個時辰 / 半個時辰 / 重要的時辰,"古時, 友, 公雞, 分為, 祭祖"
2645,真實的情形或境地。[例]看來我有必要到實地去了解一下狀況。,實地,指的是真實的情況或環境。,On-site; in the actual situation or location.,為了掌握農作物的生長情況，我們必須進行實地考察。 / 記者前往該地區實地了解災後重建的進展。 / 教育專家實地訪問了幾所學校，觀察教學情況以提出改善建議。 / 在旅遊規劃中，實地考察有助於選擇最佳路線和景點。 / 科學家們實地收集數據，以驗證他們的研究假設。 / 為了促進經濟發展，政府官員實地考察了新興產業的發展潛力。,n,實地考察 / 實地調查 / 實地觀察 / 實地體驗 / 實地訪問 / 實地研究,"有助, 災"
2646,程度合適恰當。[例]適度的讚美，可以增進孩子的信心。,適度,程度合適恰當，不偏高也不偏低。,Moderate; appropriate in degree or extent.,適度的壓力可以促使人們更好地完成工作。 / 適度的休息有助於恢復精力，提高工作效率。 / 適度的運動對健康非常重要，可以增強體力和免疫力。 / 適度的獎勵可以有效提高孩子的學習動力和自信心。 / 在飲食方面，適度的攝取各種營養有助於維持健康。 / 適度的學習策略可以提升學習效率，使知識更容易掌握。,vs-adj,適度的運動 / 適度的休息 / 適度的飲食 / 適度的獎勵 / 適度的學習 / 適度的社交,"有助, 偏低"
2647,在某一固定時間內劃分成的階段。[例]早上七點至九點這一時段是交通尖峰期。,時段,在某一固定時間內劃分成的階段。,A period of time that is divided into specific segments.,在這次會議中，我們需要討論未來幾個月的活動時段安排。 / 學校的課外活動通常安排在放學後的時段進行。 / 他喜歡在早晨的時段閱讀，因為那時候心情最平靜。 / 在這個特殊的夜間時段，我們提供免費的心理諮詢服務。 / 周末的時段適合家庭聚會，大家可以一起享受美好的時光。 / 餐廳中午的用餐時段經常出現排隊的情況，特別是在假日。,n,上課時段 / 用餐時段 / 工作時段 / 休息時段 / 夜間時段 / 活動時段,課外
2648,表示動作或情況不時地重複發生。如：「這幾天時而放晴，時而下雨，天氣陰晴不定。」,時而,表示動作或情況不時地重複發生。,Occasionally; an adverb indicating that an action or situation happens intermittently or from time to time.,這幾天時而放晴，時而下雨，天氣陰晴不定。 / 她的心情時而快樂，時而又因為生活的壓力而感到疲憊。 / 在這座城市，生活的節奏時而快速，時而又讓人感到十分悠閒。 / 我想克服這種時而積極時而消極，時而充滿動力時而缺乏幹勁的不穩定情緒。 / 節日的慶祝活動中，氣氛時而熱鬧，時而又讓人感到一絲寧靜。 / 在這段旅程中，景色時而壯麗，時而又讓人感到平凡而親切。,adv,時而出現 / 時而放晴 / 時而下雨 / 時而消失 / 時而高興 / 時而難過,"定, 壯麗, 陰晴, 幹勁, 放晴"
2649,形容不重視、不關心。[例]對於需要幫助的人，我們不應當視而不見、漠不關心。,視而不見,形容對某事物不重視、不關心，明明看見卻假裝沒有注意。,To turn a blind eye; to ignore or disregard something intentionally.,如果我們對問題視而不見，社會將無法實現真正的進步。 / 在會議上，有人提出了重要的安全隱患，但與會者卻選擇視而不見，討論其他無關的議題。 / 對於這些需要改進的地方，管理層如果持續視而不見，將可能影響公司的長期發展。 / 學校對於學生心理健康問題的忽視，讓許多孩子感受到孤獨與無助，卻依然選擇視而不見。 / 無論社會動盪如何，我們都不應該對歷史教訓視而不見，否則將重蹈覆轍。 / 我們對於長期存在的社會不平等如果視而不見，未來的世代將承受更大的負擔。,idiom,視而不見的問題 / 對問題視而不見 / 對困難視而不見 / 視而不見的態度 / 對健康視而不見 / 選擇視而不見,"隱, 重蹈覆轍, 期, 患"
2650,師範學校。以培養中小學師資為目的學校。[例]每位從師範畢業的學生，都滿懷熱忱的投入教育工作。,師範,以培養中小學教師為目的的學校。,A teacher training college; An institution aimed at cultivating teachers for primary and secondary education.,許多考上師範學校的學生，都希望能成為優秀的中小學教師。 / 每年，師範學校都會舉辦職業生涯計劃講座，幫助學生了解教師的職業發展。 / 畢業於師範學校後，他立刻申請了地方學校的教師職位，希望快點投入教學。 / 師範教育的重點是培養學生對教育的熱情，讓他們能在未來的教學中傳遞這份熱愛。 / 在實習報告中，師範生們分享了自己在不同學校的教學經歷，互相學習與成長。 / 每位從師範體系畢業的學生，都帶著對教育的理想與責任，踏上了教書育人的旅程。,n,師範學校 / 師範生 / 師範教育 / 師範課程 / 師範體系 / 師範大學,"快點, 育"
2651,發散、發出。[例]原子核反應所釋放的能量可供發電。,釋放,發散或發出某種物質或能量。,To release or emit.,他們努力工作，希望能釋放出更多的創造力。 / 運動能幫助人們釋放壓力，改善心理健康。 / 在冥想中，人們常常能夠釋放內心的焦慮與煩躁。 / 孩子們在遊戲中能盡情釋放他們的天真與想像力。 / 藝術創作是她釋放情緒的一種方式，讓她感到心靈的平靜。 / 瑜伽課程幫助參加者釋放身體的緊張，達到身心的和諧。,va-t,釋放能量 / 釋放壓力 / 釋放毒素 / 釋放光芒 / 盡情釋放 / 釋放情緒,"發散, 瑜伽"
2651,恢復被拘禁者或服刑者的人身自由。[例]無罪釋放、釋放人質,釋放,讓被困住或限制的人或物回到自由狀態。,"To release or set free, especially referring to the liberation of a person from custody or imprisonment.",警方在確認嫌疑人無罪後，立即釋放了他。 / 當地居民抗議要求下令無罪釋放被拘留的和平示威者。 / 在一次緊急會議上，政府決定完全釋放被關押的政治犯。 / 綁匪要求2000萬美元的贖金，才願意釋放貨船與船員。 / 經過長時間的審查，法院最終同意釋放這位因誤解而被拘留的外國遊客。 / 為了促進和解，當地領導人呼籲釋放所有因示威而被捕的市民。,vp-t,無罪釋放 / 釋放人質 / 立即釋放 / 釋放聲明 / 完全釋放 / 下令釋放,"2000, 綁匪, 警, 押, 拘留, 政治犯, 遊客, 無罪, 困住, 捕, 贖金"
2652,時候、時刻。[例]黎明時分、夢醒時分,時分,指某個特定的時候或時刻。,A moment or point in time.,黎明時分，天邊的雲彩染上了淡淡的粉紅色。 / 深夜時分，街道上變得格外安靜，只有偶爾的車輛經過。 / 黃昏時分，夕陽的餘暉灑落在大地上，讓人感受到一天的美好即將結束。 / 清晨時分，咖啡的香氣彌漫在空氣中，讓人感到一天的新開始。 / 深夜時分，我常常靜坐思考，回顧今天的點滴與明天的計劃。 / 當夢醒時分，陽光透過窗簾照射進來，提醒我新的一天又要開始了。,n,黎明時分 / 黄昏時分 / 清晨時分 / 傍晚時分 / 深夜時分 / 夢醒時分,"黄, 雲彩, 得, 餘暉, 灑落"
2653,詩的通稱。古今之詩，或可歌，或不可歌，統稱為「詩歌」。[例]詩歌可以陶冶性靈，豐富人們的精神生活。,詩歌,詩的總稱，包括古代和現代的作品，通常有韻律和節奏。,"Poetry; A general term for all forms of poetry, encompassing both ancient and modern works, whether they are sung or not.",在國際詩歌節上，來自世界各地的詩人齊聚一堂，交流他們的詩歌作品與創作理念。 / 詩歌的韻律和節奏使它們更具音樂感，讓人讀起來感到愉悅。 / 在學校舉辦的詩歌比賽中，學生們用心分享對生活的感受，讓評審們印象深刻。 / 藉著優美的詩歌，我們能夠感受到詩人內心深處的情感與思考。 / 詩歌不僅是文學的一部分，更是文化的載體，傳承著人類的智慧與情感。 / 每當我感到困惑時，總會翻閱那些動人的詩歌，從中找到安慰。,n,詩歌創作 / 詩歌欣賞 / 現代詩歌 / 詩歌作品 / 詩歌選集 / 詩歌比賽,"藉著, 從中, 稱, 齊聚, 選集, 深處, 感"
2654,進行工程。[例]這棟大樓的施工情形良好，應該可以如期完成。,施工,進行工程的過程。,To carry out construction or engineering work.,施工期間，附近的居民常常反映噪音問題，希望能夠得到改善。 / 在施工現場，我們必須遵守所有的安全規則，以防止意外發生。 / 為了減少對交通的影響，這座橋樑的施工計劃特別安排在夜間進行。 / 施工進度受到天氣影響，讓原本的計畫必須重新調整。 / 施工現場設置了明顯的安全警示牌，提醒路過的行人注意安全。 / 由於材料供應問題，這項工程的施工進度比預期慢了兩周。,n  n  n  v/n  n  n  n  n  n  n  v/n,施工進度 / 施工現場 / 施工計畫 / 施工人員 / 施工安全 / 施工階段,警示牌
2655,特別的喜好。[例]集郵是他的嗜好。,嗜好,對某種事物或活動有特別的喜好。,A hobby or preference; a special liking or interest.,我個人的嗜好是攝影，每次旅行都會帶著相機。 / 對於嗜好學習新語言的人來說，這是一個非常有趣的挑戰。 / 唱歌是我的嗜好，每當心情不好時，就會唱幾首歌來放鬆自己。 / 這位藝術家的嗜好是繪畫，她的作品在當地展覽中受到了熱烈的反響。 / 他的嗜好是登山，喜歡挑戰不同的山峰，享受大自然的壯麗。 / 他的嗜好是玩棋盤遊戲，經常和朋友們舉辦比賽。,n,我的嗜好 / 興趣和嗜好 / 休閒嗜好 / 個人的嗜好 / 嗜好閱讀 / 培養嗜好,"棋盤, 壯麗"
2656,失去平衡、不能保持均衡。如：「飲食失衡」、「偏食容易造成營養失衡。」,失衡,失去平衡，不能保持均衡。,To lose balance; to be unable to maintain equilibrium.,現代社會中，工作與生活失衡的問題越來越嚴重，影響了人們的心理健康。 / 如果孩子的飲食長期失衡，可能會影響他們的生長和發育。 / 近期，某城市因人口過度集中，導致社會資源分配失衡，引發了許多社會問題。 / 偏食容易造成營養失衡，進而影響身體的免疫系統。 / 隨著科技的飛速發展，傳統行業受到了衝擊，市場需求出現了明顯的失衡現象。 / 社會對環境保護的重視程度不夠，導致生態系統出現失衡，影響了人類的可持續發展。,vp-i/N,營養失衡 / 飲食失衡 / 性別失衡 / 市場失衡 / 心理失衡 / 工作與生活失衡,"近期, 飛速, 期"
2657,發生火災。[例]逃生出口要保持通暢，一旦失火，才能迅速疏散。,失火,發生火災。,"A fire; an incident where fire occurs, often referring to a fire disaster.",失火的時候，第一時間要撥打報警電話尋求幫助。 / 昨天夜裡，鄰居家失火，火焰高達兩層樓，場面十分驚人。 / 房子的煙霧警報器突然響起，讓住戶們警覺到可能發生失火的危險。 / 這幾年來，因為電線老化造成的失火事件屬於較常見的火災原因，大家得特別注意。 / 在野外露營時，必須嚴格遵守防火規定，以免引發失火的意外。 / 失火後，消防員馬上到達現場，全力滅火，防止火蔓延。,vp-i/N,突然失火 / 失火事件 / 失火原因 / 住宅失火 / 大樓失火 / 預防失火,"滅火, 達, 響起, 防火, 化, 警報器"
2658,個人或團體曾經做過的事情。[例]偉人的事蹟，足為後人典範。,事蹟,個人或團體曾經做過的事情。,Historical achievements or deeds accomplished by individuals or groups.,學校的課本裡記載了許多偉人的動人事蹟，讓學生們更了解歷史。 / 對於這位英雄的英勇事蹟，許多人都感到敬佩，並將其視為榜樣。 / 透過電影，我們能夠更生動地體驗那些感人至深的事蹟。 / 歷史課上，老師仔細介紹了這位偉人的事蹟，引發了學生們的興趣。 / 許多紀錄片都集中於描述革命時期的事蹟回顧，讓觀眾對那段歷史有更全面的認識。 / 在網路上，我們能找到許多關於名人事蹟的文章，激勵年輕人追求夢想。,n,英雄事蹟 / 驚人事蹟 / 動人事蹟 / 回顧事蹟 / 偉大事蹟 / 英勇事蹟,
2659,泛指世代顯貴的家族。[例]豪門世家,世家,世家是指世代富貴的家庭,A prestigious family or clan that has been influential for generations.,在這個國家，許多政治人物都來自有名的政治世家，影響力很大。 / 這部電影講述了一個普通女孩如何打破世家對女性的限制，追求自由的故事。 / 在這個社會中，很多優秀的人才來自於世家，這讓人們更加重視家庭背景的影響。 / 她在血統高貴的世家子弟之中長大，卻始終渴望過上普通人的生活，遠離那份無形的壓力。 / 他來自一個有名的政治世家，但面對家族的期待，他感到很困惑和焦慮。 / 這場婚禮吸引了許多媒體的注意，因為新郎新娘都是來自有名的世家，使得這個時刻充滿了傳奇的感覺。,n,書香世家 / 政治世家 / 世家大族 / 世家血統 / 世家子弟 / 書香世家,"遠離, 族, 書香"
2660,加以、給予。如：「施加壓力」。,施加,加以、給予某種影響或行動。,"To impose or exert something, such as pressure or influence.",在家庭中，父母有時需要在孩子的成長過程中施加一些限制與規範。 / 在學校，老師對學生施加適當的壓力，有助於他們提高學習成績。 / 在心理輔導中，專家需要在對話中小心施加干預，引導病人減輕心裡痛苦。 / 政府施加的稅收政策影響了企業的經營決策。 / 在運動訓練中，教練經常分階段施加難度，目的是提升運動員的競技水平。 / 在社會活動中，志願者的努力可以施加正面的影響，促進社區的團結。,va-t,施加壓力 / 施加影響 / 施加限制 / 施加痛苦 / 施加懲罰 / 施加干預,"有助, 競技"
2661,世俗、人間。[例]今之所為，真狼心狗行之徒，有何面目立於世間！（《三國演義．第七回》）,世間,世俗的人生和社會。,"The secular world; Refers to the earthly and mundane aspects of life, as opposed to the spiritual or transcendent.",世間的美好往往藏在不起眼的小事中，讓人倍感珍惜。 / 雖然世間有很多不公平，但我們仍然要努力追求自己的理想。 / 在這個世間，友情和愛情都是不可或缺的寶貴財富。 / 世間的苦難教會了我珍惜生活中的每一個瞬間。 / 在這世間，有些人用愛心去溫暖身邊需要幫助的人。 / 當我們學會感恩，世間的一切都變得更加美好和有意義。,n,世間萬物 / 人世間 / 活在世間 / 世間的苦難 / 世間的美好 / 在這世間,得
2662,時刻、時候。[例]鳳凰花開時節正是驪歌初唱之時。,時節,指特定的時刻或時候，通常與季節、節日或某些特殊情況有關。,A season or period; a specific time characterized by certain events or conditions.,在農忙的時節，微風輕輕吹來，看到田間彎腰工作的農人，讓人產生敬意。 / 秋天的時節，樹葉呈現出五顏六色的景象，讓人不禁讚嘆大自然的鬼斧神工。 / 在畢業的時節，校園裡充滿了離別的感傷和對未來的期待。 / 每到過年時節，家家戶戶都忙著打掃和布置，迎接新年的到來。 / 盛夏的時節，海邊總是人潮洶湧，大家都享受著陽光和海浪的樂趣。 / 豐收的時節，農民們忙著採摘果實，臉上掛著燦爛的笑容。,n,春天的時節 / 農忙的時節 / 開花的時節 / 幸福的時節 / 豐收的時節 / 美好的時節,"農忙, 工, 採摘, 盛夏, 忙著, 鬼斧神"
2663,使者，常駐他國的外交官員，或派往國外辦理事務的代表。如：「為了這項外交政策，政府打算派遣外交使節前往該國進行說明。」,使節,使者，常駐他國的外交官員，或派往國外辦理事務的代表。,"A diplomatic envoy or ambassador, often sent to represent or negotiate on behalf of a government.",使節團在訪問期間，向當地政府提出了增進雙邊貿易的建議。 / 這位資深的外交使節曾經在多個國家擔任重要職位，累積了豐富的經驗。 / 即使面對挑戰，外交使節仍然堅持與對方進行對話，以維護和平。 / 使節團的成員在訪問期間，與當地企業洽談了合作機會，期望能促進經濟發展。 / 外交使節的工作雖然充滿挑戰，但他們依然努力推動和平與穩定的願景。 / 為了加強雙邊關係，外交使節定期舉行會議，討論各種合作的可能性。,n,外交使節 / 駐外使節 / 使節團 / 派遣使節 / 使節的報告 / 使節的角色,
2664,用力。[例]他使勁把門踢開，衝進屋內滅火救人。,使勁,用力去做某件事情。,To exert force or effort; to use all one's strength.,他在比賽中使勁跑，想要突破自己的最快紀錄。 / 格鬥選手在訓練時使勁打沙包，以增強自己的體力。 / 她在音樂比賽前使勁練習，希望能贏得冠軍的榮譽。 / 她使勁推門，但門還是關得緊緊的。 / 小狗使勁追著球，顯示出無比的興奮和活力。 / 他在比賽中使勁揮杆，將球擊出很遠的距離，讓觀眾們驚嘆不已。,va-i,使勁推 / 使勁拉 / 使勁跑 / 使勁扔 / 使勁練習 / 使勁掙扎,"杆, 擊, 鬥"
2665,詩歌裡面的句子。,詩句,詩歌裡面的句子。,Lines or verses in a poem.,在詩人的作品中，有許多觸動人心的詩句值得回味。 / 這篇文章引用了不少優美的詩句，增添了文書的藝術感。 / 在名人的演講中，經常會出現引人深思的詩句，讓聽眾深受啟發。 / 這首抒情詩裡面每一個詩句都描繪了自然的美麗景色。 / 當我聽到這位詩人的詩時，那些優美的詩句讓我感到陶醉。 / 在詩歌比賽中，選手們用精彩的詩句展現了他們的才華與創意。,n,美麗的詩句 / 動人的詩句 / 優美的詩句 / 朗朗上口的詩句 / 觸動人心的詩句 / 充滿感情的詩句,"深受, 抒情, 朗朗上口, 感, 引"
2666,失去控制、不能自制。[例]她在得知這件不幸的消息後，情緒一度失控。,失控,失去控制，無法自制。,Out of control; unable to be restrained or managed.,在派對上，他因為喝太多酒，導致情緒失控，大哭了起來。 / 我和朋友去遊樂園，看到過山車的刺激畫面後，心裡的笑聲幾乎失控。 / 當她聽到這個突如其來的壞消息時，情緒瞬間失控，無法自我安慰。 / 他在比賽中失誤，心中的焦慮和怒火幾乎讓他情緒失控，險些與裁判爭吵。 / 認識到自己的計畫即將失敗後，瞬間的絕望讓她的心情徹底失控，意外爆發。 / 在家庭聚會上，因為一個不適當的笑話，氣氛瞬間變得緊張，局面幾乎快要失控了。,vs-i/N,情緒失控 / 局面失控 / 事情失控 / 瞬間失控 / 行為失控 / 徹底失控,"得, 遊樂園, 失誤"
2667,,石塊,石塊是指大塊的石頭，通常不規則，形狀各異。,A stone or rock fragment.,在公園裡，孩子們用石塊堆成小城堡，玩得很開心。 / 他們向商店的窗戶扔石塊，然後大喊大叫著跑開，逃避警察。 / 一位自行車手飛速穿越過去，他的速度比我快得多，甚至沒有嘗試去避讓那些石塊。 / 這條小路旁邊鋪滿了平整的石塊，讓走路變得更加舒適。 / 這片山坡上到處都是大石塊，讓走路變得更加困難。 / 那些石塊的重量令人驚訝，幾個人合力才能搬動一塊大的石塊。,n,一塊石塊 / 石塊的重量 / 大石塊 / 小石塊 / 石塊的形狀 / 搬動石塊,"避, 飛速, 平整, 得, 搬動, 鋪滿, 異"
2668,實際情況。[例]實況轉播、節目實況,實況,實際情況。,Actual situation; the real state of affairs.,透過電視實況轉播，觀眾能夠立即感受到比賽的緊張氣氛。 / 他在社交媒體上實況更新，讓朋友們隨時掌握他的旅行行程。 / 實況報導讓我們更加清楚地知道災後重建的進展如何。 / 這場體育賽事的實況分析吸引了大量球迷關注，大家紛紛討論每一個精彩瞬間。 / 隨著科技的進步，實況監控系統能夠實時提供安全警報，提高社區的安全性。 / 他在遊戲平台上進行實況轉播，吸引了許多觀眾一起體驗遊戲的樂趣。,n,節目實況 / 實況轉播 / 實況報導 / 實況更新 / 實況分析 / 實況監控,"賽事, 實, 災"
2669,實際存在的例子。如：「這是鐵錚錚的實例，你還有什麼話說！」,實例,實際存在的例子。,A concrete example; an actual case.,在討論這個問題時，提出具體的實例可以讓我們的觀點更加有說服力。 / 我們經常需要引用實例來支持我們的論點，這樣更能引起聽眾的共鳴。 / 具體的實例能夠讓抽象的概念變得具體，讓人們更容易理解。 / 經過調查，研究人員發現這個現象在許多實例中都能得到驗證。 / 書中的鮮明的實例讓我聯想到自己曾經的經歷，引發了很多思考。 / 專家提供的實例，使我們對這個複雜的問題有了更清晰的認識。,n,具體的實例 / 實例驗證 / 成功的實例 / 提供實例 / 鮮明的實例 / 參考實例,
