word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
例證,5923,為印證某事所舉的例子。[例]他舉了許多例證來說明自己的看法是於法有據的。,An example used to illustrate or prove something.,為了印證某件事而舉的例子。,他在演講中引用了經典文學作為例證，讓聽眾更加體會到他所要表達的情感。 / 這位教授提供的科學研究報告，引發了學生對資料分析的興趣，並成為討論中的例證。 / 在討論氣候變化的影響時，他引用了最新的調查結果作為強而有力的例證。 / 這本書中列舉的歷史例證，使讀者更深刻地理解了當時的社會背景。 / 他在法庭上提出的具體例證，幫助證明了他的客戶的清白。 / 言論自由的重要性常常需要用歷史的例證來佐證，以便讓人們更加尊重這一基本權利。 / 在商業會議上，經理使用成功企業的案例作為例證，鼓勵團隊積極創新。 / 當她談到教育改革時，引用的國外成功經驗成為了有力的例證，讓政策制定者更有信心。 / 這篇文章中提到的實際例證，讓理論看起來更加真實可信，吸引了許多讀者的注意。 / 在心理學課程中，教授經常使用實驗數據作為例證，幫助學生理解複雜的概念。 / 社會運動的成功常常依賴於具體的例證，以激勵更多人參與並推動變革。,n,提供例證 / 舉例證 / 引用例證 / 具體例證 / 有力的例證 / 確鑿的例證 / 充分的例證 / 真實的例證 / 科學的例證 / 歷史的例證,,,
勵志,5924,激勵奮發向上的心志。[例]勵志小品,Encouraging and inspiring; motivating towards ambition and determination.,激勵人們奮發向上，追求目標和理想的心志。,每天早上，他都會聽一段勵志演講，以激勵自己開始新的一天。 / 這部勵志影片講述了一位運動員如何克服重重困難實現夢想的故事。 / 學校經常舉辦勵志課程，鼓勵學生面對挑戰並追求自己的理想。 / 在畢業典禮上，校長分享了許多勵志名言，激勵同學們勇敢面對未來。 / 這本勵志書籍的每一章都讓我感受到堅持與努力的重要性，讓我倍感振奮。 / 她每天臨睡前都會閱讀一些勵志文章，以幫助自己保持積極的心態面對明天。 / 他在社交媒體上分享勵志語錄，希望能夠激勵更多人追尋自己的夢想。 / 參加這個勵志工作坊後，我對於未來的職業規劃更加清晰和充滿信心。 / 每年的青少年勵志論壇都吸引了許多優秀的人士前來分享他們的奮鬥故事。 / 這首勵志歌曲充滿了正能量，常常讓我在困難時刻重新振作起來。 / 學校的圖書館新增了一些勵志書籍，希望能激勵學生面對學業上的挑戰。,n,勵志名言 / 勵志故事 / 勵志影片 / 勵志歌曲 / 勵志演講 / 勵志書籍 / 勵志文章 / 勵志語錄 / 勵志榜樣 / 勵志課程,,,"工作坊, 新增, 睡"
理直氣壯,5925,理由正當充分而無所畏懼。[例]只要行事正當，理直氣壯，就沒有什麼好怕的。,Justified and fearless; having a legitimate reason and showing confidence in one's stance.,理由正當充分，行事無所畏懼。,"這位學生在班上提出質疑時，理直氣壯地表達自己的觀點，讓大家都重新思考問題。 / 面對不公正的指控，他理直氣壯地捍衛自己的名譽，讓人對他的誠信更有信心。 / 在討論會上，專家們理直氣壯地提出數據，讓與會者對議題有了更清晰的認識。 / 在這次社會運動中，參與者理直氣壯地呼籲改革，引起了大量媒體的關注。 / 他在面對質疑時，理直氣壯地闡述自己的理由，使得聽眾對他的立場產生了更多理解。 / 理直氣壯地提出改革建議，她贏得了同事的尊重，大家開始認真考慮改進方案。 / 在法庭上，律師理直氣壯地辯護，讓陪審團重新評估案件的所有證據。 / 對於這項新政策，市民理直氣壯地表達不滿，促使政府考慮重新審核方案。 / 他在演講中理直氣壯地捍衛環保理念，激勵了更多人加入保護地球的行列。 / 當面對學校的嚴厲規定時，學生們理直氣壯地提出自己的看法，促成了校方的再次討論。 / ""理直氣壯地發表意見後，他的同事開始反思之前的決策，並考慮新的合作模式，提出了理直氣壯的理由。""",idiom,理直氣壯的理由 / 理直氣壯的態度 / 理直氣壯的發言 / 理直氣壯的行為 / 理直氣壯地回應 / 理直氣壯地反駁 / 理直氣壯的立場 / 理直氣壯的主張 / 理直氣壯的證據 / 理直氣壯地爭取,,,"無所畏懼, 審"
立足點,5926,根本的位置。引申為觀察或判斷事物時所處的立場、觀點。例]所謂的真平等，是立足點的平等，不是齊頭式的假平等。,A fundamental position or standpoint; refers to the perspective or criteria from which one observes or evaluates a situation.,根本的位置。引申為觀察或判斷事物時所處的立場和觀點。,在討論社會問題時，必須先確定各自的立足點，以避免產生誤解。 / 學校舉辦辯論比賽，讓學生更清楚地表達自己的立足點。 / 在談判過程中，了解對方的立足點可以幫助達成更好的協議。 / 即使意見不同，我們也應尊重每個人的立足點。 / 在這次研究中，學者們試圖找出不同文化背景下的立足點。 / 在這次會議中，與會者分享了各自的立足點，以促進更深入的討論。 / 寫作時，明確的立足點能夠讓文章的論點更加清晰有力。 / 在歷史學習中，學生們被鼓勵從多個立足點來分析事件，以增進理解。 / 計劃項目時，確定團隊的立足點對於達成共同目標至關重要。 / 當面對挑戰時，尋找新穎的立足點可以為解決問題提供不同的視角。 / 真正的立足點不僅僅是個人觀點，更應該考慮到群體的需求和利益。,n,真正的立足點 / 合理的立足點 / 客觀的立足點 / 不同的立足點 / 個人的立足點 / 確立立足點 / 分析立足點 / 立足點的重要性 / 立足點的選擇 / 立足點的理解,,,引申
憐愛,5927,憐惜疼愛。[例]這個小女孩活潑聰明，十分惹人憐愛。,To cherish and show affection; to have pity and love.,對人或動物產生一種特別的喜愛，通常帶有同情和保護的感情。,他看著那些受傷的小動物，眼中流露出充滿憐愛的神情。 / 鄰居家的小女孩因為說錯話而被惡作劇的朋友冷落，這讓她有些傷心，母親對著她溫柔說「別難過，媽媽的憐愛永遠在你身邊」。 / 在圖書館裡，志工們耐心地幫助每個來借書的小朋友，讓人覺得他們對這些孩子充滿憐愛。 / 每當她聽到流浪狗悲傷的叫聲，就忍不住想去救助那些需要憐愛的生命。 / 老師在課堂上提到每一位需要幫助的學生時，語氣裡帶著深深的憐愛，讓孩子們感到被重視和關心。 / 憐愛的父母總是無微不至地關心著孩子的生活和學習。 / 當他看到那位孤獨的老人坐在公園長椅上時，心中不禁湧起一陣憐愛，決定上前陪伴他。 / 同學們在活動中展現出對獲獎的小夥伴的憐愛，一起為她送上祝福和擁抱。 / 她的眼神中透露出對這個孤兒滿滿的憐愛，讓周圍的人都感受到溫暖。 / 每當她翻看童年照片，看到那些天真無邪的笑容，心中總是充滿了憐愛和懷念。 / 這位作家在作品中塑造的角色，往往帶有一種深刻的憐愛，讓讀者感同身受。,va-t/N,憐愛的小孩 / 憐愛的動物 / 憐愛的人 / 深深憐愛 / 憐愛的父母 / 憐愛的微笑 / 充滿憐愛 / 憐愛的聲音 / 憐愛的舉動 / 感受到憐愛,,,"救助, 獲獎, 帶有, 湧起"
臉蛋,5928,臉頰部分。泛指臉。[例]這位歌星臉蛋迷人，成為歌迷的偶像。,The cheek part of the face. Generally refers to the face.,臉頰的部分，泛指整個臉。,她臉蛋上掛著甜美的微笑，讓人感到溫暖。 / 她的臉蛋像一朵花般嬌嫩，讓人忍不住想要親近。 / 孩子的臉蛋上沾著巧克力，顯得無比可愛。 / 她的臉蛋白皙光滑，彷彿可以看到自己的倒影。 / 在陽光下，他的臉蛋泛著健康的紅暈，充滿活力。 / 這位新娘的臉蛋上化著精緻的妝容，顯得格外迷人。 / 小女孩的臉蛋因為玩耍而沾滿了泥土，卻仍然顯得那麼無邪。 / 她的臉蛋上洋溢著自信的光彩，讓周圍的人都為之驚艷。 / 這幅畫中，人物的臉蛋充滿了生動的表情，彷彿隨時會說話。 / 他臉蛋上的鬍渣讓他看起來更加成熟，散發著男子漢的魅力。 / 小獸醫專注於這隻小貓，臉蛋上滿是關愛的神情，令人動容，尤其是她那動人的臉蛋，讓人感受到溫暖與柔情。,n,可愛的臉蛋 / 白皙的臉蛋 / 嬌嫩的臉蛋 / 精緻的臉蛋 / 笑容燦爛的臉蛋 / 甜美的臉蛋 / 自然的臉蛋 / 健康的臉蛋 / 明亮的臉蛋 / 動人的臉蛋,,,"臉蛋白皙, 嬌嫩, 鬍渣, 獸醫, 沾滿, 驚艷, 化, 容"
連根拔起,5929,將根從地裡拔出。比喻澈底剷除。[例]希望這次的掃黑行動，能將國內黑社會的勢力連根拔起。,To uproot completely; to eliminate thoroughly.,將植物的根從土裡拔出。比喻徹底剷除某種存在或問題。,"這次的環保行動，志工們希望能連根拔起社區內的垃圾問題。 / 農夫花了很多心血，終於將田裡的雜草連根拔起，讓作物能健康成長。 / 醫生表示，如果不及時治療，這種疾病將會連根拔起我的健康。 / 這位慈善家投資了大量資金，致力於連根拔起貧困地區的教育問題。 / 這次抗議活動的目標，就是要連根拔起腐敗的政治體制。 / 為了改善環境，政府決定連根拔起這些違法的工廠。 / 這位音樂家的作品，深深影響了年輕一代，讓舊有的音樂風格被連根拔起。 / 為了保護野生動物，生態學家們正在努力連根拔起非法捕獵的行為。 / 這次運動會的口號是「連根拔起不良風氣，重塑體育精神！」 / 新的法律旨在連根拔起社會上長期存在的欺詐行為。 / ""政府的扫黑行动，希望能连根拔起那些盘踞已久的不法之徒和腐败势力。""",idiom,扫黑 / 腐败势力 / 社会恶习 / 旧体制 / 贪污 / 不法之徒 / 不良风气 / 害群之马 / 阴暗势力 / 违法行为,,,"违, 气, 盘, 期, 捕獵, 动, 腐, 习, 为, 旧, 风, 马, 贪, 势, 会, 扫, 黑行, 恶, 阴, 欺, 法, 体, 社, 踞, 污, 拔起, 良, 旨, 连, 败"
連環,5930,比喻互相連接。[例]連環計、連環車禍,"A series of connected events or situations; often used to describe scenarios where one event triggers another in succession, such as in a series of schemes or accidents.",比喻互相連接，像是一環接著一環。,最近的連環爆炸事件令市民人心惶惶，希望警方能早日查出真相。 / 他設下的連環計，不但讓敵人損失慘重，也讓自己逃出生天。 / 這部電影中的連環謎題，讓觀眾猜到最後一刻。 / 誰能想到這是一場精心設計的連環計，對手滿以為能輕易擊敗他。 / 這位老闆的連環謀略，使公司在短時間內取得了驚人的成就。 / 這部小說的連環故事，讓讀者在每一篇中都能發現新的驚喜。 / 最近的連環車禍引起了大家對交通安全的深思，期盼未來能減少此類悲劇。 / 他的畫作以連環畫的方式呈現，觀眾每一格都能感受到不同的情感。 / 這場比賽出現了連環失誤，讓球迷們感到既緊張又 frustrating。 / 這位演員在舞台上的連環劇情變化，讓觀眾目不轉睛，期待著每一個高潮。 / 這次的連環問題考驗了學生們的邏輯思維能力，讓他們更加重視數學的學習。,n,連環計 / 連環畫 / 連環車禍 / 連環案 / 連環劇 / 連環謀 / 連環問題 / 連環故事 / 連環關係 / 連環爆炸,,,"失誤, 設, 警, frustrating, 既, 劇, 謀"
練就,5931,鍛鍊成、修練成。[例]他追隨名師研習書法，練就一手好字。,To hone or cultivate through practice and training.,鍛鍊成、修練成某種能力或技能。,經過多年的努力，他終於練就了一身高超的武藝，足以自保。 / 她在樂團裡練習了無數小時，終於練就了出色的鋼琴演奏技藝。 / 透過持續的學習和實踐，他練就了流利的外語口語能力。 / 為了成為一名優秀的廚師，他每天都在廚房裡練習，練就了一手好菜。 / 通過不斷的寫作和修改，這位作家終於練就了精湛的文學創作技巧。 / 他每天都在操場上訓練，練就了堅強的意志和毅力。 / 在藝術學校的磨練下，她練就了高超的繪畫技藝，作品受到了大家的讚賞。 / 透過多次的比賽和表演，他練就了自信的舞台表現能力。 / 念了多年書法課程後，她終於練就了一手楷書，讓人驚嘆不已。 / 在科學實驗室裡的辛勤工作，使他練就了出色的實驗操作技能。 / 經過無數次的失敗和嘗試，他練就了出神入化的問題解決能力，能迅速應對各種挑戰。,va-t,練就一技之長 / 練就好本領 / 練就好身手 / 練就真本事 / 練就高超水平 / 練就豐富經驗 / 練就堅強意志 / 練就精湛技藝 / 練就熟練手法 / 練就出神入化,,,"楷書, 自保"
聯軍,5932,由兩個或兩個以上的國家所聯合組成的軍隊。[例]八國聯軍、英法聯軍,A coalition army formed by two or more countries.,由兩個或兩個以上的國家聯合組成的軍隊。,在歷史課上，我們學習到了八國聯軍對中國的影響。 / 聯軍的出現改變了戰爭的形式，使各國必須重新考量其外交政策。 / 在一次重要的戰役中，聯軍展現了其強大的作戰能力，成功擊退了敵人。 / 聯軍的步兵和騎兵合作默契，讓整個戰局朝著有利的方向發展。 / 聯軍指揮官的戰略部署極為關鍵，直接影響到整場戰役的勝負。 / 聯軍行動的成功依賴於各國之間的緊密合作與資源共享。 / 這次聯軍的聯合演習，提升了各國軍隊之間的相互信任和協作能力。 / 在戰爭中，聯軍的海軍力量有效地封鎖了敵方的補給線，減少了其抵抗的可能性。 / 聯軍的參與，使這場戰爭變得更加複雜，各方勢力的博弈愈發激烈。 / 聯軍的醫療小組，在戰場上為受傷士兵提供了及時的救治，拯救了無數生命。 / 聯軍的戰士們在惡劣的環境中，仍然堅持完成任務，展現了驚人的毅力與勇氣。,n,聯軍攻擊 / 聯軍合作 / 聯軍部隊 / 聯軍戰役 / 聯軍指揮官 / 聯軍力量 / 聯軍任務 / 聯軍成員 / 聯軍行動 / 聯軍壓力,,,"指揮官, 協作, 救治, 騎兵, 國聯軍, 博弈, 步兵"
連累,5933,牽連累及。[例]只因他們幾個人太過吵鬧，連累全班都受罰。,"To implicate or involve others in a situation, often resulting in shared responsibility or consequences.",牽連到其他人或事物，使他們也受到影響。,"因為他的失誤，整個團隊都連累了，讓他感到非常自責。 / 在這個事件中，若不道歉就會連累到家族的名聲，大家都很緊張。 / 如果他不改掉這個壞習慣，將來一定會連累到他的職業生涯。 / 這起事故如果沒有妥善處理，將會連累到其他無辜的人。 / 他的行為不僅危害了自己，也可能連累到朋友，讓大家非常難過。 / 她的錯誤決策可能連累公司，影響到所有同事的工作和前途。 / 因為這次的失敗，許多人都擔心會連累到自己的職位安全，氣氛十分緊張。 / 如果不採取行動，這個問題將會連累到整個社區的安全和穩定。 / 他的財務狀況不好，已經連累到家庭經濟壓力，使得大家都非常焦慮。 / 她的不當言論讓整個團隊都感到緊張，擔心會連累到他們的合作機會。 / ""由於他的不負責任行為，已經連累到了其他人的責任，使得他們不得不尋找新的解決辦法。""",vp-t,連累家庭 / 連累朋友 / 連累工作 / 連累自己 / 連累責任 / 連累情況 / 連累風險 / 連累聲譽 / 連累團隊 / 連累生活,,,"若, 自責, 負責任, 失誤"
連綿,5934,連續不斷。[例]近日陰雨連綿，東西都快發霉了。,Continuous and unending; occurring in a non-stop manner.,連續不斷，長時間持續。,這座城市的屋簷下，昨晚下的春雨還在連綿不斷地滴落著。 / 雖然他已經離開故鄉多年，心中的思念卻連綿不絕，時常讓他無法入眠。 / 當我站在高處眺望，遠方的連綿山脈讓人感到無盡的遼闊。 / 每當下雨，窗外那連綿的雨聲，總能讓我想起兒時的回憶。 / 在這次旅行中，我們經歷了連綿的美景，令人流連忘返。 / 這首歌的旋律如連綿的潮水，輕輕地沖刷著我的心靈。 / 在那連綿的夜空下，我們一起許下了無數的願望，希望能實現。 / 他的畫作中，連綿的色彩交織出一幅動人的故事，讓人陶醉。 / 隨著時間的流逝，對友誼的珍惜在心中連綿不斷，彷彿從未改變過。 / 最近的工作壓力讓我感到連綿的疲憊，渴望一場說走就走的旅行。 / 這本小說的情節扣人心弦，讓我在連綿的夢境中感受到角色的痛苦與喜悅。,vs-i,連綿的天空 / 連綿的山脈 / 連綿的春雨 / 連綿的思念 / 連綿的景色 / 連綿的悲傷 / 連綿的夢境 / 連綿的歌聲 / 連綿的回憶 / 連綿的旅程,,,"扣人心弦, 昨晚, 滴落, 流連忘返, 沖刷, 從未, 入眠, 連續不斷, 春雨, 夜空, 潮"
聯名,5935,共同簽名連署。[例]聯名提案、聯名陳情,To jointly sign or endorse; usually refers to multiple parties signing together to support or propose something.,共同簽名或連署，表示支持某個提案或意見。,為了改善當地的環境問題，居民們聯名向市政府提出請願。 / 這些國際知名的藝人聯名發起慈善活動，呼籲大家關心弱勢兒童的生活。 / 一群科學家聯名發表聲明，強調氣候變化的緊迫性，並呼籲政府採取更多行動。 / 在新的環保法規出台前，許多企業聯名向政府表達他們的意見和建議。 / 當地的自閉症家長聯名要求學校改進相關的教育資源，以便更好地支持孩子的成長。 / 許多非營利組織聯名發起的這項運動，旨在提高公眾對心理健康問題的認識。 / 在選舉期間，數百位知名學者聯名發表文章，呼籲選民重視政策的長期影響。 / 為了抵制不當的商業行為，業界內的多個企業聯名向監管機構提出正式投訴。 / 一些社會運動人士聯名組織了這場抗議，希望政府能夠聽取民眾的聲音。 / 為了促進文化交流，藝術家們聯名策劃了一系列展覽，展示不同文化的魅力。 / 社區居民聯名請願，要求在小區內新增更多的綠化空間，改善生活環境。,va-t/N,聯名請願 / 聯名抗議 / 聯名訴求 / 聯名提案 / 聯名聲明 / 聯名活動 / 聯名報告 / 聯名計畫 / 聯名支持 / 聯名陳情,,,"陳情, 新增, 市政府, 旨, 投訴, 自閉症, 監管, 期"
連年,5936,接連數年。[例]這個國家因為連年征戰，國力已經大受損傷。,To refer to several consecutive years.,接連好幾年。,這個地區由於連年缺水，農民們的生活變得非常困難。 / 這家公司連年虧損，導致許多員工面臨裁員的風險。 / 連年來，他不斷提升自己的專業技能，希望能在這個行業中找到更好的機會。 / 這個國家因為連年受到自然災害的影響，經濟發展受到很大阻礙。 / 連年參加義工活動，使她的生活更加充實，也交到了許多志同道合的朋友。 / 由於連年戰爭，許多家庭被迫離開故鄉，尋找新的生活希望。 / 連年來，這個城市的地鐵建設進展緩慢，交通問題始終沒有得到解決。 / 每年這個音樂節都吸引了連年增長的觀眾人數，成為了當地文化的一大亮點。 / 在連年追求卓越的過程中，他終於在這個領域獲得了重大的突破。 / 由於連年高溫，環境污染問題愈發嚴重，讓人感到十分擔憂。 / 連年經營這家小店，讓她見證了無數顧客的故事，心中充滿感慨。,adv,連年暴雨 / 連年乾旱 / 連年失業 / 連年災害 / 連年增長 / 連年虧損 / 連年選舉 / 連年努力 / 連年收入 / 連年經營,,,被迫
臉盆,5937,洗臉時盛水用的盆子。[例]當過兵的人絕對忘不了「早晨起，床鋪動，拿著臉盆往外衝」的日子。,A basin used for washing the face.,用來洗臉的盆子，通常是圓形的，放水用。,今天早上，我在臉盆裡泡水，想讓手鬆一下。 / 洗完臉後，我把臉盆裡的水倒掉。 / 每個人都能在浴室找到自己的臉盆，這樣就不會混淆了。 / 我們家廁所的臉盆旁邊，有一個小架子放毛巾。 / 他們喜歡在涼快的早晨，用臉盆洗臉，感覺特別清新。 / 用過的臉盆應該經常清洗，以保持衛生。 / 在臉盆中，我發現了一些小石子，不知道這是怎麼回事。 / 我準備了一個新的臉盆，打算用來洗水果和蔬菜。 / 洗手的時候，我習慣在臉盆裡加一點香皂，讓水變得泡泡多多。 / 昨晚我在臉盆裡放了冰水，想用來消暑。 / 浴室的臉盆上總是擺放著一瓶洗面奶，方便大家使用。,n,一個臉盆 / 兩個臉盆 / 新的臉盆 / 使用的臉盆 / 白色的臉盆 / 清洗臉盆 / 擦乾臉盆 / 在臉盆裡 / 水中有泡沫的臉盆 / 廁所的臉盆,,,"消暑, 泡泡多, 昨晚, 清洗臉盆, 香皂, 奶, 盆子, 冰水, 洗臉, 擦乾"
連日,5938,接連數日。[例]連日來的大雨，使河水決堤，氾濫成災。,Several consecutive days; referring to a situation occurring over multiple days in succession.,接連好幾天。,連日的降雨造成了許多地方的積水，讓交通非常不便。 / 這個城市連日的高溫讓居民都感到很疲憊，大家都希望能夠降溫。 / 由於連日的霧霾，許多市民開始佩戴口罩以保護自己的健康。 / 連日的抗議活動吸引了大量的媒體關注，市民們希望能夠讓政府聽到他們的聲音。 / 連日的工作壓力使得他們不得不尋求專業的心理諮詢，以幫助緩解情緒。 / 連日的練習讓球隊的默契大增，期待在比賽中能夠取得好成績。 / 由於連日的失眠，他的身體變得虛弱，工作效率也大幅下降。 / 在連日的旅行中，雖然疲勞，但他們仍然享受著每一個新的風景。 / 連日的等待讓她感到焦慮不安，期待著那個重要消息的到來。 / 連日的挑戰讓學生們積累了豐富的經驗，讓他們在面對考試時更加自信。 / 連日的降雨使河水暴漲，當地居民開始提高警覺，準備應對可能的洪水。,adv,連日的降雨 / 連日的高溫 / 連日的霧霾 / 連日的抗議活動 / 連日的工作壓力 / 連日的練習 / 連日的失眠 / 連日的疲勞 / 連日的等待 / 連日的挑戰,,,"積累, 河水, 佩戴, 降雨, 霾, 降溫"
憐惜,5939,同情愛惜。[例]看她弱不禁風的模樣，令人心生憐惜。,To show sympathy and affection due to pity.,對他人或事物感到同情並加以珍惜，通常表現出柔和的情感。,看到流浪狗在寒風中瑟瑟發抖，讓我心中憐惜不已，決定帶牠回家。 / 她那孤獨的小身影讓人感到憐惜，於是我主動邀請她一起玩。 / 看著老人家拿著攤販的食物，心中不禁憐惜，於是我給了他一些錢。 / 每當我想起過去的艱辛時光，總是憐惜自己那段拼搏的歲月。 / 看著那些被欺負的孩子，我深感憐惜，決定為他們發聲。 / 他那憐惜的眼神讓我明白，心中對這段友情的價值更加珍惜。 / 看到那棵古老的樹木因為環境變遷而枯萎，我心中憐惜，決定參加植樹活動。 / 當我看到她為失去的機會而流淚時，我心中充滿了憐惜和理解。 / 每當我翻看那些已經泛黃的照片，總是憐惜過去的美好時光。 / 看到小孩在雨中無助地哭泣，我不禁感到憐惜，立刻送他回家。 / 在路上遇到受傷的動物，我心中憐惜，努力尋求幫助以拯救牠。,vs-t,心生憐惜 / 令人憐惜 / 憐惜時間 / 憐惜生命 / 憐惜過去 / 憐惜青春 / 憐惜愛情 / 憐惜弱者 / 感到憐惜 / 深感憐惜,,,"植樹, 瑟, 搏, 者, 寒風"
漣漪,5940,水面上細微的波紋。[例]他朝湖面丟了一粒小石頭，激起陣陣漣漪。,A ripple; small waves or undulations on the surface of water.,水面上細微的波紋。,他推開門的瞬間，空氣裡出現了一陣漣漪，讓整個房間都感覺不同了。 / 夕陽西下，湖面上泛起金色的漣漪，如同點滴的笑聲。 / 當她看到那封信時，心中掠過一絲漣漪，讓她想起了過去的回憶。 / 這首曲子的旋律如同水面上的漣漪，層層疊疊，讓人心醉神迷。 / 清晨，小鳥的歌唱在寧靜的湖面上激起漣漪，使得整個世界都活躍了起來。 / 每當他聽到那首老歌，心中就會泛起一陣漣漪，喚起年輕時的美好回憶。 / 天空中飛過的雲彩，映照在水面上，形成了細緻的漣漪，讓人感到心靈的平靜。 / 她的微笑如同一陣漣漪，輕輕地擴散開來，溫暖了周圍每一個人的心。 / 暴風雨過後，湖面恢復了平靜，只有幾道漣漪在提醒著人們剛剛發生的變化。 / 這幅畫作宛如一池漣漪，帶領觀者探索更深層的情感與思考。 / 在那個特別的夜晚，星空的倒影在水面上蕩漾出美麗的漣漪，讓人沉醉於無盡的遐想。,n,一陣漣漪 / 漣漪聲 / 湖面上的漣漪 / 心中的漣漪 / 漣漪的擴散 / 微笑的漣漪 / 風吹起的漣漪 / 情感的漣漪 / 平靜的漣漪 / 黯淡的漣漪,,,"泛起, 疊疊, 雲彩, 飛過, 池, 波紋, 蕩漾, 映照, 暴風雨"
聯姻,5941,兩個家族因子女婚娶而結為親家。[例]他們兩家聯姻，使原有的事業合作關係更加緊密。,"A marriage alliance between two families, formed through the marriage of their children.",兩個家族因為子女的婚姻而結為親家，使兩家之間的關係更加緊密。,他們兩家為了經濟利益進行的聯姻，使雙方的生意都更加繁榮。 / 聯姻之後，兩家族的成員經常聚在一起，增進感情。 / 雖然這樁聯姻是父母安排的，但年輕人們也逐漸接受了彼此的差異。 / 在古代，聯姻常常被用來鞏固國家之間的外交關係。 / 他們的聯姻不僅增強了家族間的聯繫，還促進了文化的交流。 / 聯姻對象的選擇往往受到家庭背景和社會地位的影響。 / 在這個社會中，聯姻被視為解決個人生活問題的一種有效方式。 / 兩個家族的聯姻儀式非常隆重，傳統的習俗都得到了充分體現。 / 聯姻後，兩家族共用資源，實現了互利共贏的局面。 / 隨著現代觀念的改變，越來越多人開始重視聯姻中的情感基礎。 / 聯姻協商過程中，雙方都表達了對未來生活的期望與看法。,n,聯姻關係 / 聯姻目的 / 聯姻利益 / 聯姻家庭 / 聯姻對象 / 聯姻背景 / 聯姻儀式 / 聯姻誓言 / 聯姻合約 / 聯姻協商,,,"互利, 結為"
煉獄,5942,天主教中稱洗滌罪惡，淨化靈魂的場所為「煉獄」。比喻受苦難折磨的地方。,"A place in Catholicism where souls are purified of their sins; metaphorically, a place of suffering and torment.",天主教中，指洗滌罪惡、淨化靈魂的地方。比喻受苦難折磨的境地。,根據天主教的教義，煉獄是靈魂需要經歷的過程，讓他們能夠得到救贖。 / 在文學作品中，煉獄常被描繪成一個苦難與懺悔並存的地方。 / 聖經中提到，有些靈魂在煉獄中等待著最終的審判。 / 煉獄的概念不僅反映了宗教信仰，也引發了對人生意義的深刻思考。 / 有些人認為，煉獄的存在讓我們學會珍惜在世上的每一刻。 / 煉獄的靈魂經歷痛苦的洗滌，期待著重新回到上帝的懷抱。 / 在某些文化中，煉獄被看作是靈魂修行的一部分，讓他們能夠成長與蛻變。 / 煉獄的火焰象徵著對罪過的懲罰，卻也同時帶來淨化的希望。 / 許多信徒在禱告中提到煉獄，希望能為逝去的親人減輕痛苦。 / 煉獄的存在提醒著人們，行為的後果將伴隨著靈魂的旅程，無法逃避。 / 煉獄的歷程讓人反思人生的選擇，思索如何才能達到真正的和平與安寧。,n,煉獄的靈魂 / 煉獄的審判 / 煉獄的苦難 / 在煉獄中 / 煉獄的火焰 / 煉獄的救贖 / 煉獄的存在 / 煉獄的痛苦 / 煉獄的懺悔 / 煉獄的哲學,,,"世, 作, 逝, 境"
樑,5943,「梁」的異體字。架於柱子的上端，用來支撐屋頂的橫木,"A variant form of ""梁"" (liang), referring to a horizontal beam that is supported by columns and is used to carry the weight of a roof.",架在柱子上端，用來支撐屋頂的橫木。,梁的結構必須經過專業設計，以確保建築的穩定性。 / 古老的寺廟裡，樑上雕刻著美麗的圖案，展現出工匠的巧手。 / 在颱風來臨之前，工人們檢查樑的牢固度，確保屋頂不會被風吹走。 / 教室的樑之間，吊著一些綠色植物，讓空間增添了一些生氣。 / 這棟大樓的樑使用了新型材料，能提高承載的能力，保證安全。 / 這棟房子的樑下空間，變成了舒適的閱讀角落，吸引了好多人來這裡安靜享受。 / 在施工現場，工人們小心翼翼地安裝每一根樑，以確保建築的安全。 / 這座橋的樑設計獨特，不僅美觀，還能有效分散重力，延長使用壽命。 / 餐廳的樑上掛滿了燈飾，讓整個用餐環境顯得溫馨而浪漫。 / 學校的體育館樑高高在上，空間寬敞，讓學生們可以自由地進行各種運動。 / 當地居民利用樑下的空間，設置了休閒區，成為小孩們玩耍的好去處。,n,一根樑 / 樑的結構 / 樑的尺寸 / 樑的負載 / 樑的支撐 / 支撐樑 / 樑與柱 / 樑的安全 / 樑下空間 / 樑的施工,,,"吹走, 新型, 梁, 掛滿, 巧手, 燈飾, 負載"
