word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
剝削,160,壓榨、搜刮。[例]剝削勞工,To exploit or oppress.,剝削是利用他人的勞動或者資源而給予不公平的回報，讓他人得到的利益減少。,許多大企業以追求利潤的名義，剝削勞工的情況非常普遍。 / 社會運動的目的是提高對剝削現象的認識，促進更公平的經濟政策。 / 如果不加以控制，這一些不法企業的剝削行為可能會進一步擴大，造成貧富差距的惡化。 / 在歷史上，許多國家的農民曾經遭受嚴重剝削，這導致了激烈的社會運動和改革。 / 政府的稅收政策有時會被指責為一種間接的剝削手段，因為它可能加重低收入家庭的負擔。 / 在某些網路遊戲中，遊戲公司可能會透過高價道具的銷售來剝削玩家的錢包。,Va-t,剝削勞工 / 剝削人民 / 剝削行為 / 被剝削 / 嚴重剝削 / 剝削現象,bōxuē,ㄅㄛ ㄒㄩㄝ,
補償,161,補足或償還。[例]精神上的損失是無法補償的。,To compensate or make up for something.,給予某種形式的回報以彌補損失或不足。,在工作中如果因為失誤造成損失，公司必須找到適當的方式來補償客戶的損失。 / 雖然他已經購買了保險，但事故發生後的精神損失是無法完全補償的。 / 他對自己過去的缺失感到內疚，希望能用行動來補償朋友的失望。 / 在環境污染事件後，企業被要求支付補償費用來修復受損的生態環境。 / 在國際糾紛中，雙方達成補償協議，有助於緩解緊張的外交關係。 / 如果你今天不能來參加活動，下次可以帶些小禮物補償主辦的朋友。,va-t,補償損失 / 補償措施 / 補償計畫 / 補償條件 / 適當的補償 / 補償協議,bǔcháng,ㄅㄨˇ ㄔㄤˊ,
不單,162,不止。[例]警察的任務不單要維護治安，還要維持交通順暢。,Not limited to.,指的範圍或數量超過一個，表示不止某一個。,這次的文化交流計畫不單讓學生們學到了新知識，也增進了他們的語言能力。 / 他的研究不單在學術界引起關注，還對產業界產生了深遠的影響。 / 在危機時刻，政府的應變措施不單要迅速，還需考慮長期的影響。 / 這本書的內容不單涵蓋歷史，還探討了文化和社會的變遷。 / 這場講座不單吸引了學生參加，還有許多專業人士前來聆聽。 / 這部電影不單有精彩的特效，還有感人的故事情節。,adv,不單是 / 不單有 / 不單要 / 不單能 / 不單看 / 不單對,bùdān,ㄅㄨˋ ㄉㄢ,
不等,163,不齊、不同、不一樣。[例]這些飾品的價格不等，從五十元到一百元的都有。,Unequal.,價格或數量上不齊、不同或不一樣。,這些商品的價格不等，有的便宜也有的很貴。 / 各家航空公司飛往臺東的機票費用不等，要看起飛的時間而決定。 / 電影票在不同時段和不同電影院，價格也會有所不等。 / 這些學校的學費不等，根據地理位置和課程品質的不同而有所差異。 / 這些活動的參加費用不等，取決於活動的類型和持續時間。 / 這些水果的大小不等，有的小得像櫻桃，有的大得像西瓜。,Vs-adj,價格不等 / 效果不等 / 水準不等 / 數量不等 / 方法不等 / 形狀不等,bùděng,ㄅㄨˋ ㄉㄥˇ,
步調,164,走路時腳步的快慢。今多用以比喻事情進展的情況。[例]步調一致、步調緩慢,"Pace or tempo of walking, now often used to metaphorically indicate the progress or rhythm of events.",走路時腳步的快慢，現在多用來比喻事情進展的情況。,這兩個團隊在合作的過程中，應該要保持步調一致，才能達成共同的目標。 / 這位導演的拍攝步調緩慢，讓每一個鏡頭都充滿了情感和細節。 / 在健身房裡，人們各自的運動步調不同，有些人喜歡高強度的訓練，有些則偏愛輕鬆的有氧運動。 / 當生活節奏變得緊張時，適時放慢步調能幫助我們減輕壓力，恢復平靜。 / 老師提醒學生，保持穩定的學習步調會有助於他們在考試中取得更好的成績。 / 在這次旅行中，我們決定按照自己的步調探險，慢慢欣賞每一個風景。,n,步調一致 / 步調緩慢 / 步調不同 / 步調輕快 / 步調穩定 / 步調加快,bùdiào,ㄅㄨˋ ㄉㄧㄠˋ,
不動產,165,不能移動的財產。指土地、房屋及附著於土地的定著物，統稱為「不動產」。如房子、工廠等建物即是。[例]陽光法案要求公職人員公布他們名下所持有的動產與不動產。,Real estate.,不能移動的財產，多指土地和房屋。,在這個城市裡，不動產的價格一直在上升。 / 不動產投資需要謹慎考慮市場的變化和風險。 / 許多人選擇將退休金投入不動產，確保穩定的收入來源。 / 不動產交易的透明度對於提升市場信心非常重要。 / 在這個區域，商業辦公室不動產的需求持續增長，吸引了許多投資者的目光。 / 我朋友最近買了一個在鄉下的不動產，打算自己種菜。,n,不動產市場 / 購買不動產 / 出售不動產 / 不動產交易 / 投資不動產 / 不動產資訊,bùdòngchǎn,ㄅㄨˋ ㄉㄨㄥˋ ㄔㄢˇ,
部隊,166,各種軍隊的通稱。[例]傘兵部隊、裝甲部隊、蛙人部隊,Troops.,各種軍隊的稱呼。,為了確保每位士兵能在危機時刻保持冷靜和專業，部隊的訓練相當嚴格。 / 部隊中的每一位成員，無論職位高低，都必須遵守紀律，以確保團隊的運作順利。 / 在災難救援時，部隊會迅速進入行動，提供必要的支持與援助給受災民眾。 / 訓練期間，部隊的士兵們不僅學習戰術，還要鍛鍊體能，以適應艱苦的環境。 / 因為特種部隊常常面對最具挑戰性的任務，成員必須具備高超的技能。 / 在節慶期間，部隊受邀參加遊行，展示他們的服裝和部隊精神。,n,菁英部隊 / 特種部隊 / 海軍部隊 / 空軍部隊 / 陸軍部隊 / 支援部隊,bùduì,ㄅㄨˋ ㄉㄨㄟˋ,
不對勁,167,異於平常、不妥當、奇怪。[例]他今天有點不對勁，最好少惹他。,Strange; unusual or not right.,跟平常不同、不妥當或奇怪。,他今天的聲音聽起來有點不對勁，像是感冒了。 / 我約朋友一起運動，他遲到了，但看起來有點不對勁，似乎發生了什麼事情。 / 這部電影的情節讓我覺得不對勁，好像有什麼地方不合邏輯。 / 他最近的行為讓我覺得不對勁，好像在隱瞞什麼。 / 老闆今天的情緒明顯不對勁，大家都小心翼翼地避免談論敏感話題。 / 這幅畫的顏色搭配讓我覺得不對勁，似乎不太和諧。,vs-adj,有點不對勁 / 感覺不對勁 / 看起來不對勁 / 情況不對勁 / 明顯不對勁 / 好像不對勁,bùduìjìn,ㄅㄨˋ ㄉㄨㄟˋ ㄐㄧㄣˋ,
不法,168,違反法律的意圖或行為。[例]圖謀不法、不法廠商,Illegal.,違反法律的意圖或行為。,警方加強巡邏，以防止不法分子的犯罪行為。 / 教育機構開展法律知識講座，提高學生對不法行為後果的認識。 / 社交媒體平台加強審核機制，以減少不法廣告和虛假資訊的出現。 / 新法規的實施是為了更有效地打擊不法財富的流動。 / 與國際警察合作，有助於追查跨國不法行為，維護全球法治。 / 某些商人利用不法手段來獲取不當利益，損害了消費者的權益。,Vs-adj,不法行為 / 不法交易 / 不法分子 / 不法活動 / 不法收入 / 不法侵權,bùfǎ,ㄅㄨˋ ㄈㄚˇ,
步伐,169,行進的腳步。[例]國慶閱兵時，三軍步伐整齊，個個精神抖擻。,A marching pace.,行進的腳步。一般指一個人或一群人行走時的姿態和速度。,在軍事活動中，士兵們的步伐像機器一樣準確，展現了他們的訓練和紀律。 / 樹林裡的小動物跳來跳去，它們的步伐輕快而靈活，似乎在玩耍。 / 這位舞者在舞台上跳舞，她的每一步伐都充滿優雅和力量，吸引了觀眾的注意。 / 在晨跑的時候，我喜歡聽著音樂，調整自己的步伐，感受與自然的連結。 / 在國際比賽中，運動員們以自信的步伐進入場地。 / 在公園的快走活動中，人們的步伐輕快，一邊走路一邊聊天，氣氛融洽。,n,整齊的步伐 / 堅定的步伐 / 自信的步伐 / 輕快的步伐 / 正確的步伐 / 輕快的步伐,bùfá,ㄅㄨˋ ㄈㄚˊ,
不凡,170,出色、與眾不同。[例]他的能力不錯，剛起步就表現不凡。,Remarkable; outstanding; extraordinary.,出色，與眾不同。,她在演講比賽中的表現不凡，讓大家都對她印象深刻。 / 這位藝術家的作品不凡，深深打動了觀眾的心靈。 / 他的創意和點子總是與眾不同，這讓他在團隊中顯得不凡。 / 雖然年輕，但她在學術研究上的成就很不凡，得到了很多人的喜愛。 / 這本書透過不凡的敘述手法，讓讀者體驗到了一個全新的世界。 / 他的體育才能不凡，常常在比賽中獲得第一名。,vs-adj,不凡的成就 / 不凡的才華 / 顯得不凡 / 表現不凡 / 成就不凡 / 不凡的眼光,bùfán,ㄅㄨˋ ㄈㄢˊ,
不復,171,不再。[例]我已不復年輕，對這種費體力的事，也只能有心無力了。,Not to return; no longer.,某種狀態、行為或能力不再存在或發生。,這段友情經歷了考驗後，似乎變得不復以往的親密。 / 隨著年齡的增長，我的精力和耐心都不復當年那樣充沛。 / 環境的變化讓我們的生活方式不復如前，必須適應新挑戰。 / 畢業後，大家忙於各自的工作，聯繫不復頻繁，讓我感到些許孤獨。 / 那些美好的回憶雖然仍在心中，但與之相關的情感已不復清晰，如今只能偶爾回味。 / 經歷了這次失敗後，他的自信心已不復往日的堅定。,adv,不復年輕 / 不復相同 / 不復停留 / 不復存在 / 不復甜蜜 / 不復往日,bùfù,ㄅㄨˋ ㄈㄨˋ,
布告欄/佈告欄,172,學校或機關團體張貼布告的地方。[例]學校走廊上大多設有布告欄。　◎,A bulletin board.,學校或機關團體用來張貼公告的場所。,在學校的走廊上，布告欄上張貼著各種活動通知。 / 每個星期老師都會更新布告欄上的資訊，這樣一來，學生才不會錯過重要的消息。 / 學生們經常查看布告欄，了解即將舉行的比賽和演講比賽的時間。 / 這個月的文化節海報已經貼在布告欄上，吸引了許多同學的注意。 / 在布告欄上，學生們可以找到有關實習機會的訊息。 / 每個班級都有自己的布告欄，用來展示學生的作品和生日祝福。,n,校園布告欄 / 張貼在布告欄 / 更新布告欄 / 查看布告欄 / 在布告欄上 / 資訊布告欄,bùgàolán,ㄅㄨˋ ㄍㄠˋ ㄌㄢˊ,
不公,173,不公平、不公道。[例]人事命令頒布下來之後，他頻頻抱怨上級不公。,Unfair; unjust.,對某人或某事不公平的對待或看法。,社會中的貧富差距造成了機會不公，使得許多人難以改變命運。 / 在學校裡，如果老師對學生的打分不公，會影響到學生的學習動力。 / 對於最近媒體報導中提到的薪資不公，勞工團體已經計劃發起抗議行動。 / 政府的稅制如果設計不公，將會引發社會的動盪和不安。 / 在運動比賽中，如果裁判的判決明顯不公，大部分參賽者的努力將會被無視。 / 許多學生對於考試時的時間分配感到不公，認為某些科目的難度過高。,vs-adj,抱怨不公 / 面對不公 / 嚴重不公 / 明顯的不公 / 對於不公 / 感受不公,bùgōng,ㄅㄨˋ ㄍㄨㄥ,
不及,174,時間趕不上。[例]來不及、措手不及、迅雷不及掩耳,To be too late; unable to catch up or make up for passed time.,趕不上某個時間或情況，通常指來不及應對或處理。,昨天的交通事故讓我們處理不及，原本預計提前到的行程也被延誤了。 / 他對於突然發生的事情應對不及，只能眼睜睜看著計畫被打亂。 / 昨天下午的突發天氣變化，讓許多農民反應不及，損失很大。 / 團隊在面對客戶的突發需求時，雖然努力，但最終反應不及，未能及時滿足要求。 / 這部電影的上映時間安排得太緊，讓宣傳團隊來不及做好充分的準備。 / 顧客臨時更動需求，廠商準備不及，導致討論進行得非常不順利。,vp-i,處理不及 / 準備不及 / 來不及 / 反應不及 / 應對不及 / 速度不及,bùjí,ㄅㄨˋ ㄐㄧˊ,
不及,174,沒達到。[例]兩地相距不及百里，可以當天來回。,To be inferior to.,比不上，或未達到某個程度或距離。,這次考試的結果不及我想像中的好，我會再努力學習。 / 他今天的表現不及平常的水準，讓大家感到意外。 / 雖然努力了很久，但他的成績還是不及班上的優秀學生。 / 這部電影的口碑不及預期，票房也因此受到影響。 / 這份報告的品質不及標準，必須重新修改才能及格。 / 這次旅遊的景點安排不及家人的期待，讓大家都有些失落。,vs-i,不及預期 / 不及理想 / 不及希望 / 不及標準 / 不及期待 / 不及平常,bùjí,ㄅㄨˋ ㄐㄧˊ,
補給,175,供應、補充不足的東西。[例]這座高山雷達站所需要的用品，每個月從山下補給一次。,To supply or replenish.,供應、補充不足的東西。,這艘船在海上失去動力太久，非常需要補給空氣與食物。 / 為了完成這次探險任務，探險隊必須在每個據點補給必需的裝備和資源。 / 我們的團隊在極地考察期間，定期透過飛機補給實驗材料。 / 這個偏遠村莊的醫療資源短缺，迫切需要外界補給藥品與設備。 / 軍隊在移動時，必須好好規劃補給站的位置，以避免中途缺少糧食和水。 / 為了保持運動員的體力，教練會定期在比賽中提供補給飲料。,Va-t,補給物資 / 補給糧食 / 補給需求 / 緊急補給 / 定期補給 / 補給食物,bǔjǐ,ㄅㄨˇ ㄐㄧˇ,
不禁,176,承受不住、經受不起。[例]老年人不禁摔，要特別留意安全。,To be unable to endure or withstand.,承受不住,年紀大的人不禁摔，要小心走路。 / 他從小被父母特別疼愛，自尊心很強，不禁罵。 / 他病了很久，不禁折磨，感到非常絕望。 / 我已經好幾天沒睡好，不禁這樣的折騰，實在得放棄了。 / 這支手機品質太差，不禁使用，很快就沒電了。/ 許多情報人員不禁敵人的折磨，最終還是說出了國家的機密。,adv,不禁罵 / 不禁摔 / 不禁打 / 不禁折磨 / 不禁折騰 / 不禁使用,bùjīn,ㄅㄨˋ ㄐㄧㄣ,
不禁,176,控制不住、不由自主。[例]在熱天中走得滿身汗，一進冷氣房就不禁打了個哆嗦。,Uncontrollably; unable to restrain or stop.,控制不住。,看著那部感人的電影，她不禁流下了淚水。 / 在比賽中看到隊友的努力表現，我不禁想要為他們加油。 / 每當回想到童年的美好時光，我不禁想要回到過去。 / 在聽到那首熟悉的歌曲時，我不禁跟著唱了起來。 / 在朋友的婚禮上，看到幸福的新人，我不禁露出了微笑。 / 當她品嚐到那道美味的料理時，不禁讚嘆廚師高超的技藝。,adv,不禁想起 / 不禁流下淚水 / 不禁笑出來 / 不禁感到 / 不禁鼓掌 / 不禁想要,bùjīn,ㄅㄨˋ ㄐㄧㄣ,
不經意,177,不經思索、自然而然的。[例]看到畢業紀念冊，不經意的又想起了過去學校生活的點點滴滴。,Unintentional.,不經思索，自然而然地發生或表現出來。,他不經意的微笑讓大家心情變得更好。 / 他的不經意的言語讓我意識到事情並不如表面那麼簡單。 / 他不經意的舉動讓我感受到了一種溫暖的關懷。 / 當我不經意地翻閱舊照片時，許多美好的回憶湧上心頭。 / 她不經意的眼神交流讓我明白了她對我的真實感受。 / 在公園散步時，我不經意地注意到樹上的小鳥在唱歌。,Vs-adj,不經意的微笑 / 不經意的言語 / 不經意的動作 / 不經意的眼神 / 不經意的表情 / 不經意的舉動,bùjīngyì,ㄅㄨˋ ㄐㄧㄥ ㄧˋ,
補救,178,彌補過失，矯正差錯。[例]事情到了這個地步，已經沒有補救的機會了。,To remedy or correct a mistake or oversight.,彌補過失和差錯。,事情到了這個地步，已經沒有補救的機會了 / 昨天的會議討論了如何補救這個項目的缺點。 / 我不小心把中獎的證明弄丟了，請問有什麼方法可以補救嗎？ / 如果在考試中犯了錯誤，還是可以通過補救措施來提升總成績。 / 她知道自己在報告中有錯誤，馬上下定決心要找到補救的方法。 / 雖然錯過了截止日期，但他仍然希望能夠找到補救的辦法。,va-t,補救措施 / 補救方法 / 補救方案 / 無法補救 / 進行補救 / 補救的機會,bǔjiù,ㄅㄨˇ ㄐㄧㄡˋ,
不覺,179,某動作出於自然而非做作。[例]看完這篇報導，眼淚不覺流了出來。,Unconsciously; without awareness or intention.,某個動作自然發生，而非刻意做出。,在聽到他講述自己的故事時，我不覺流下了淚水。 / 昨天晚上看電影，我不覺笑出聲，周圍的人也一起笑了。 / 我和好友聊了很久，直到天黑才發現時間不覺過去了好幾個小時。 / 當我獨自漫步在沙灘上，海浪的聲音讓我不覺忘記了煩惱。 / 當我翻閱老照片時，不覺想起了許多美好的回憶。 / 在寒冷的冬日中，品嚐熱茶的瞬間，我不覺心裡暖了起來。,adv,不覺流淚 / 不覺心痛 / 不覺疲倦 / 不覺想起 / 不覺愛上 / 時間不覺過去,bùjué,ㄅㄨˋ ㄐㄩㄝˊ,
不堪,180,形容狀況很差。表示程度深。[例]破爛不堪、痛苦不堪,Extremely bad.,形容狀況非常差，表示程度很深。,經過一夜的暴雨，這條路變得難走不堪。 / 這個國家的現狀只能說是悲慘不堪，人民只好逃難到別的國家。 / 每次想起你，我就心痛不堪。 / 透過外國攝影師捕捉到這個國家的現狀：建築破爛，人民貧窮不堪。 / 這本書描寫了戰爭帶來的災難，許多故事讓人心痛不堪，難以輕易忘記。 / 這位老人的身體狀況虛弱不堪，醫生建議他應該多休息並注意飲食。,Vs-adj,痛苦不堪 / 貧窮不堪 / 破爛不堪 / 心痛不堪 / 虛弱不堪 / 悲慘不堪,bùkān,ㄅㄨˋ ㄎㄢ,
不堪,180,無法忍受。[例]不堪龐大的債務壓力，他只好向親友尋求救助。,Unbearable.,無法忍受的狀態或程度。,昨天晚上的噪音讓她不堪其擾，早上幾乎沒有休息好。 / 過度的工作壓力讓他感到不堪重負，必須找時間休息。 / 他面對不堪回首的過去，心中充滿了無奈與哀傷。 / 這場比賽失利讓球隊不堪一擊，大家都無心準備下一場比賽。 / 目睹這樣的不公，他的心中燃起了不堪忍受的憤怒，決定站出來發聲。 / 這瓶牛奶已經過期，味道不堪入耳，真讓人無法忍受。,Adv,不堪重負 / 不堪一擊 / 不堪入目 / 不堪忍受 / 不堪入耳 / 不堪設想,bùkān,ㄅㄨˋ ㄎㄢ,
不可或缺,181,必須，不能有所缺少。[例]水是不可或缺的民生必需品。,Essential; Indispensable.,必須存在，不能缺少。,在一個團隊中，每個成員都是不可或缺的一部分。 / 學習外語的過程中，實際運用和練習是不可或缺的。 / 在這場比賽中，團隊合作是取得勝利的不可或缺的因素。 / 在醫療體系中，護理人員是不可或缺的重要角色。 / 在學校教育中，品德教育被視為不可或缺的課程之一。 / 在家庭中，互相理解和支持是不可或缺的基礎。,idiom,不可或缺的元素 / 不可或缺的資源 / 不可或缺的技術 / 不可或缺的因素 / 不可或缺的人才 / 不可或缺的支持,bùkěhuòquē,ㄅㄨˋ ㄎㄜˇ ㄏㄨㄛˋ ㄑㄩㄝ,
布滿/佈滿,182,充滿、遍布。[例]他雖然只有五十來歲，臉上卻已布滿了皺紋。,To be filled with.,充滿或遍布某一事物或特徵。,他在餐廳的廚房打工，一不小心手上布滿了工作留下的傷口。 / 這片海灘上，五顏六色的貝殼布滿了沙灘，讓人忍不住拍照。 / 夜空中布滿了星星，讓人感受到宇宙的廣闊與神秘。 / 在這家咖啡館內，牆上布滿了顧客們留下的感人留言，彷彿每個角落都充滿了故事。 / 節日來臨時，漂亮的燈飾布滿了街道，讓整個城市充滿了快樂的氣氛。 / 他的心中布滿了對未來的夢想，讓他每天都充滿了勇氣去追尋下一步。,Vp-t,布滿笑容 / 布滿回憶 / 布滿人群 / 布滿星星 / 布滿夢想 / 布滿誘惑,bùmǎn,ㄅㄨˋ ㄇㄢˇ,
不平,183,不公平。[例]分配不平、分贓不平,Unfair; unjust or inequitable.,分配或待遇不公正。,在這個團隊裡，大家感到分配不平，導致氣氛變得緊張。 / 員工們對於薪資待遇不平感到不滿，要求公司進行檢討。 / 在這次比賽中，裁判的判決令人質疑，讓參賽選手心中充滿了不平的情緒。 / 雖然大家都很努力，但仍然發現獎勵分配不平，這讓人感到失落。 / 學校的資源分配不平，使得不同學科的發展出現了明顯的差距。 / 在學術研究中，經費的分配不平使得某些領域的發展受到限制。,Vs-adj,分配不平 / 不平的情緒 / 資源不平 / 機會不平 / 待遇不平 / 競爭不平,bùpíng,ㄅㄨˋ ㄆㄧㄥˊ,
不平,183,凹凸、不平坦。[例]高低不平、起伏不平,"Uneven; referring to a surface that has dips and rises, not flat or smooth.",表面有凹凸，沒有平坦。,椅子的高度不平，坐下來會感到不舒服。 / 公園裡的步道不平，走起來需要花點力氣。 / 這段路程不平，讓騎自行車的人感到十分吃力。 / 甲板上有些地方不平，行走時要特別注意安全。 / 這個地方的地面不平，容易讓人絆倒。 / 這個桌子不平，放上杯子時容易滾下來。,Vs-adj,高低不平 / 道路不平 / 地面不平 / 心情不平 / 價格不平 / 人際不平,bùpíng,ㄅㄨˋ ㄆㄧㄥˊ,
不切實際,184,不符合現實狀況或需要。[例]他腦子裡想的都是些不切實際的怪點子。,Unrealistic; not in line with reality or practical needs.,不符合現實狀況或需要。,他的計畫聽起來很有創意，但實際上是非常不切實際的。 / 我們必須設定一些可行的目標，而不是不切實際的期望。 / 講求和平的理想不應該被視為不切實際，而應該成為我們努力的方向。 / 他提出的解決方案雖然聽起來不錯，但在現實中實施起來十分不切實際。 / 政府的政策如果不考慮民眾的實際需求，就會被批評為不切實際。 / 他總是想著一些不切實際的夢想，卻不願意踏實面對現實。,idiom,不切實際的計劃 / 不切實際的目標 / 不切實際的想法 / 不切實際的標準 / 不切實際的建議 / 不切實際的夢想,bù qiè shí jì,ㄅㄨˋ ㄑㄧㄝˋ ㄕˊ ㄐㄧˋ,
不時,185,時時、經常。[例]除了一日三餐之外，母親還不時做些精緻的點心給我們吃。,"Frequently, repeatedly.",時時、經常。,經理不時舉辦團隊建設活動，以增進同事之間的合作與默契。 / 我不時去書店逛逛，尋找有趣的新書來閱讀。 / 這家餐廳的菜單不時更新，讓顧客每次來都有新驚喜。 / 我不時與老朋友聯繫，分享彼此的生活點滴。 / 他不時參加志願活動，展現出關心社會的熱情。 / 他不時去公園散步，享受大自然的寧靜。,adv,不時聯繫 / 不時提醒 / 不時更新 / 不時問候 / 不時鍛鍊 / 不時檢查,bùshí,ㄅㄨˋ ㄕˊ,
不時,185,臨時、在預料之外的。[例]出門在外總要隨身帶些錢，以備不時之需。,Unexpected; Temporary; Occasional.,臨時的情況或需求，通常不在預料之內。,在旅行的過程中，不時會發生變化，得隨時調整計畫。 / 生活中不時會發生一些意外情況，讓我們學會了靈活應對各種挑戰。 / 為了不時之需，醫藥箱裡的藥品需要定期檢查。 / 在公司裡，主管不時會召開會議，解決臨時遇到的問題。 / 在市場上，產品的需求不時會變化，企業必須隨時掌握最新動態。 / 這種糾紛不時會發生，你不必太驚訝。,adv,不時需要 / 不時出現 / 不時變化 / 不時發生 / 不時調整 / 不時想念,bùshí,ㄅㄨˋ ㄕˊ,
部署,186,布置、安排。[例]警察已在各重要路口完成部署，相信很快便能逮到歹徒。,To deploy or arrange in an organized manner.,進行布置和安排，使各項工作或任務能夠順利進行。,警方在每個重要路口都已經完成部署，以加強治安。 / 面對即將到來的颱風，政府迅速部署緊急小組，保障居民的生命安全。 / 公司為了提升工作效率，最近對員工的任務部署進行了調整。 / 隨著年底的到來，財務部門開始部署預算審核的相關工作。 / 由於國際形勢急速變化，政府對外交政策進行了戰略部署。 / 學校為了準備期末考試，決定在每個班級中部署輔導老師，幫助學生復習。,va-t,進行部署 / 完成部署 / 戰略部署 / 人員部署 / 工作部署 / 資源部署,bùshǔ,ㄅㄨˋ ㄕㄨˇ,
不妥,187,不恰當、不宜。[例]當初雙方雖是口頭約定，但中途毀約恐怕不妥。,Inappropriate; not suitable or proper.,不恰當或不宜的情況。,他在會議上發言時使用的語氣，非常不妥，讓同事們都感到不舒服。 / 她的行為雖然出於好意，但在當時的情況下實在不妥。 / 在正式場合穿著太隨便，會讓人覺得不妥，影響專業形象。 / 如果你對工作表現提出過高的期望，恐怕這樣的要求會顯得不妥。 / 她的評論雖然基於事實，然而在這個場合說出來實在不妥。 / 對於這種敏感的話題，我們在交流時選擇的用詞如果不慎重，可能會讓人覺得不妥。,vs-adj,非常不妥 / 明顯不妥 / 實在不妥 / 行為不妥 / 決定不妥 / 說法不妥,bùtuǒ,ㄅㄨˋ ㄊㄨㄛˇ,
不外乎/不外,188,指不超出某種範圍之外。[例]保持身體健康的方法，不外乎注重營養和運動。,Not exceeding.,指的是某事物或情況不超出特定的範圍，通常表示有限的選擇或類型。,努力學習的目的，不外乎是為了獲得更好的知識和技能。 / 家庭聚會的主要目的，不外乎是促進親情與分享生活的點滴。 / 招募新成員的標準，不外乎是考慮他們的技能、經驗和團隊合作能力。 / 職場成功的關鍵，不外乎是努力工作、積極學習和良好的人際關係。 / 學習一門新語言的方法，不外乎是多聽、多說和持續練習。 / 朋友之間的聊天內容，不外乎是分享生活中的小故事和彼此的近況。,Conj,不外乎是 / 不外乎有 / 關鍵不外乎 / 不外乎為了 / 目的不外乎 / 方法不外乎,bùwàihū/bùwài,ㄅㄨˋ ㄨㄞˋ ㄏㄨ ㄅㄨˋ ㄨㄞˋ,
不惜,189,不顧、不計。[例]為了實現理想，他不惜犧牲一切享受。,To be determined to achieve something regardless of the cost.,不顧一切，不計較代價。,他們不惜一切代價，想要保護家鄉珍貴的自然環境。 / 當得知朋友遇到困難時，他不惜放下自己的工作，全心幫助對方。 / 為了體驗不同的文化，他們不惜花費大量的時間和金錢去旅行。 / 為了讓孩子接受更好的教育，這對父母不惜搬到陌生的城市。 / 在爭取社會公平的運動中，他不惜冒著可能被捕的危險，依然堅持發聲。 / 她為了實現自己的夢想，不惜熬夜學習。,va-i,不惜一切 / 不惜代價 / 不惜冒著風險 / 不惜辛勞 / 不惜犧牲 / 不惜放下,bùxī,ㄅㄨˋ ㄒㄧ,
部下,190,軍隊或團體裡被統率的人。[例]他為人公正嚴明，所有部下對他都敬畏三分。,"Subordinate, typically in a military or hierarchical organization.",在軍隊或團體中，指受上級管理的人。,他總是對部下要求嚴格，希望能提升整個團隊的效率。 / 他經常鼓勵部下參加培訓，以提升他們的專業技能和職業競爭力。 / 他為了感謝部下的好表現，特意舉辦了一個慶祝晚會。 / 每當部下遭遇挫折，他都會耐心地提供建議，幫助他們走出困境。 / 他積極尋找方法，以激勵部下在工作中保持熱情和創造力。 / 他常常與部下一起開會，討論公司未來的發展計劃。,n,要求部下 / 部下的表現 / 幫助部下 / 指導部下 / 信任部下 / 長官和部下,bùxià,ㄅㄨˋ ㄒㄧㄚˋ,
不屑,191,輕視而不加以注意。[例]看他一臉不屑的樣子，真令人生氣。,To disdain; to regard with contempt.,輕視而不加以注意。,她聽到批評的聲音時，總是一副不屑的神情，似乎根本不在意別人的看法。 / 在討論時，他總是用不屑的語氣回應別人的疑問，讓氣氛變得格外尷尬。 / 儘管專家給了他建議，他還是不屑去聽，依然堅持自己的方式。 / 他在比賽中獲得亞軍，卻對頒獎典禮表現出不屑的態度，似乎只想追求第一名的榮耀。 / 當她被問到那個爭議話題時，臉上竟然露出不屑的神情，讓人大吃一驚。 / 他對於那些無聊的娛樂新聞總是抱著不屑的態度，認為這樣的話題根本不值得討論。,vs-adj,不屑理會 / 不屑的態度 / 不屑地笑 / 不屑的眼神 / 不屑的表情 / 不屑的話,bùxiè,ㄅㄨˋ ㄒㄧㄝˋ,
步行,192,徒步行走。[例]弟弟每天步行去上學。,To walk or travel on foot.,用雙腳走路的方式。,我們計畫步行去海邊，享受沿途的風景和自然的聲音。 / 我每天步行去上班，這段路程讓我有時間靜心思考。 / 每當我在步行回家的路上，總會看到許多熟悉的面孔，讓我感到溫暖。 / 步行不僅能鍛鍊身體，還能讓我放鬆心情，遠離工作的壓力。 / 我喜歡步行旅行，因為這樣能更深入地了解每個地方的文化和歷史。 / 今天天氣很好，我和朋友們決定步行到公園玩，享受輕鬆的下午時光。,va-i,每天步行 / 步行上學 / 步行回家 / 步行旅行 / 步行到達 / 輕鬆步行,bùxíng,ㄅㄨˋ ㄒㄧㄥˊ,
